booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_amount,net_room_revenue
BK_00040,30/5/2026,6/8/2026,CH_OTA_EXP,RACK,3,340.94,Confirmed,TRUE,0.15,51.141,289.799
BK_00041,12/3/2025,28/5/2025,CH_OTA_BKG,PROMO,2,260.7,Checked-Out,TRUE,0.18,46.926,213.774
BK_00042,10/9/2025,24/11/2025,CH_OTA_BKG,RACK,2,712.19,Checked-Out,TRUE,0.18,128.1942,583.9958
BK_00043,20/6/2026,31/7/2026,CH_DIRECT,PROMO,3,1142.4,Confirmed,TRUE,0,0,1142.4
BK_00044,29/9/2025,19/11/2025,CH_OTA_EXP,CORP,2,425.59,Confirmed,TRUE,0.15,63.8385,361.7515
BK_00045,10/1/2025,10/3/2025,CH_OTA_BKG,RACK,3,508.57,Cancelled,TRUE,0.18,91.5426,417.0274
BK_00046,16/5/2025,30/6/2025,CH_OTA_BKG,PROMO,2,399.39,Cancelled,TRUE,0.18,71.8902,327.4998
BK_00047,11/7/2026,19/8/2026,CH_OTA_BKG,CORP,3,370.52,Confirmed,TRUE,0.18,66.6936,303.8264
BK_00048,28/9/2025,13/10/2025,CH_OTA_BKG,PROMO,2,396.68,Confirmed,TRUE,0.18,71.4024,325.2776
BK_00049,18/12/2025,14/1/2026,CH_DIRECT,NET,2,920.48,Confirmed,FALSE,0,0,920.48
BK_00050,5/4/2025,26/6/2025,CH_WHOLE,CORP,1,81.49,Confirmed,TRUE,0,0,81.49
BK_00051,15/10/2026,18/11/2026,CH_OTA_EXP,NET,3,1129.14,Checked-Out,FALSE,0.15,0,1129.14
BK_00052,10/1/2025,25/1/2025,CH_OTA_BKG,PROMO,3,285.4,Cancelled,TRUE,0.18,51.372,234.028
BK_00053,20/8/2026,30/10/2026,CH_OTA_EXP,NET,1,97.57,Cancelled,FALSE,0.15,0,97.57
BK_00054,10/2/2025,28/3/2025,CH_OTA_EXP,PROMO,3,369.52,Checked-Out,TRUE,0.15,55.428,314.092
BK_00055,21/2/2026,12/5/2026,CH_OTA_EXP,PROMO,1,490.01,Confirmed,TRUE,0.15,73.5015,416.5085
BK_00056,27/2/2026,3/3/2026,CH_OTA_EXP,CORP,2,833.88,Checked-Out,TRUE,0.15,125.082,708.798
BK_00057,12/9/2025,17/10/2025,CH_OTA_EXP,RACK,2,892.62,Cancelled,TRUE,0.15,133.893,758.727
BK_00058,16/8/2025,11/9/2025,CH_WHOLE,CORP,2,849.25,Confirmed,TRUE,0,0,849.25
BK_00059,17/8/2025,21/8/2025,CH_OTA_EXP,NET,2,394.03,Confirmed,FALSE,0.15,0,394.03
BK_00060,13/10/2025,27/11/2025,CH_WHOLE,CORP,1,128.44,Cancelled,TRUE,0,0,128.44
BK_00061,2/7/2025,15/9/2025,CH_DIRECT,RACK,1,330.56,Cancelled,TRUE,0,0,330.56
BK_00062,18/11/2025,13/1/2026,CH_OTA_BKG,NET,3,479.5,Confirmed,FALSE,0.18,0,479.5
BK_00063,27/12/2026,21/2/2027,CH_OTA_BKG,PROMO,2,522.29,Checked-Out,TRUE,0.18,94.0122,428.2778
BK_00064,5/12/2025,23/2/2026,CH_DIRECT,RACK,3,1374.06,Checked-Out,TRUE,0,0,1374.06
BK_00065,13/11/2025,7/2/2026,CH_WHOLE,CORP,2,745.66,Checked-Out,TRUE,0,0,745.66
BK_00066,11/5/2025,5/6/2025,CH_WHOLE,NET,3,1182.65,Confirmed,FALSE,0,0,1182.65
BK_00067,23/9/2026,5/12/2026,CH_DIRECT,NET,3,1290.49,Cancelled,FALSE,0,0,1290.49
BK_00068,21/10/2025,17/11/2025,CH_WHOLE,CORP,2,531.1,Checked-Out,TRUE,0,0,531.1
BK_00069,7/8/2025,12/10/2025,CH_WHOLE,PROMO,3,346.84,Checked-Out,TRUE,0,0,346.84
BK_00070,11/11/2026,1/2/2027,CH_DIRECT,RACK,1,362.57,Confirmed,TRUE,0,0,362.57
BK_00071,23/7/2025,11/8/2025,CH_OTA_BKG,RACK,1,493.25,Checked-Out,TRUE,0.18,88.785,404.465
BK_00072,16/3/2025,14/5/2025,CH_WHOLE,PROMO,3,1117.41,Cancelled,TRUE,0,0,1117.41
BK_00073,14/2/2026,18/3/2026,CH_OTA_EXP,RACK,1,406.94,Confirmed,TRUE,0.15,61.041,345.899
BK_00074,30/6/2025,28/9/2025,CH_WHOLE,RACK,3,553.99,Confirmed,TRUE,0,0,553.99
BK_00075,13/4/2026,1/5/2026,CH_WHOLE,CORP,2,674.63,Checked-Out,TRUE,0,0,674.63
BK_00076,1/6/2026,26/7/2026,CH_WHOLE,PROMO,3,1325.48,Cancelled,TRUE,0,0,1325.48
BK_00077,23/9/2025,25/10/2025,CH_DIRECT,NET,3,541.45,Cancelled,FALSE,0,0,541.45
BK_00078,21/3/2025,27/4/2025,CH_OTA_EXP,CORP,2,428.56,Checked-Out,TRUE,0.15,64.284,364.276
BK_00079,24/3/2025,11/4/2025,CH_OTA_EXP,PROMO,2,742.92,Checked-Out,TRUE,0.15,111.438,631.482
BK_00080,8/8/2025,17/8/2025,CH_WHOLE,NET,2,615.79,Cancelled,FALSE,0,0,615.79
BK_00081,5/3/2025,1/4/2025,CH_WHOLE,NET,3,1432.04,Confirmed,FALSE,0,0,1432.04
BK_00082,13/8/2026,1/10/2026,CH_WHOLE,RACK,2,410.83,Cancelled,TRUE,0,0,410.83
BK_00083,6/3/2026,14/5/2026,CH_OTA_EXP,NET,1,194.63,Cancelled,FALSE,0.15,0,194.63
BK_00084,30/1/2025,21/3/2025,CH_DIRECT,NET,3,447.96,Cancelled,FALSE,0,0,447.96
BK_00085,11/5/2025,30/7/2025,CH_OTA_BKG,NET,3,951.13,Confirmed,FALSE,0.18,0,951.13
BK_00086,27/3/2025,18/6/2025,CH_WHOLE,PROMO,2,312.65,Cancelled,TRUE,0,0,312.65
BK_00087,24/1/2026,7/3/2026,CH_OTA_EXP,NET,2,443.5,Cancelled,FALSE,0.15,0,443.5
BK_00088,12/10/2025,5/12/2025,CH_DIRECT,RACK,2,176.28,Checked-Out,TRUE,0,0,176.28
BK_00089,23/2/2025,9/4/2025,CH_OTA_EXP,RACK,3,290.73,Confirmed,TRUE,0.15,43.6095,247.1205
BK_00090,11/9/2025,7/10/2025,CH_OTA_BKG,PROMO,1,133.01,Checked-Out,TRUE,0.18,23.9418,109.0682
BK_00091,28/4/2025,10/7/2025,CH_OTA_EXP,NET,3,562.87,Cancelled,FALSE,0.15,0,562.87
BK_00092,21/6/2025,7/9/2025,CH_OTA_BKG,PROMO,2,250.8,Confirmed,TRUE,0.18,45.144,205.656
BK_00093,16/11/2025,29/1/2026,CH_WHOLE,NET,3,489.9,Checked-Out,FALSE,0,0,489.9
BK_00094,9/12/2026,28/2/2027,CH_OTA_EXP,RACK,3,1213.33,Checked-Out,TRUE,0.15,181.9995,1031.3305
BK_00095,7/9/2026,23/9/2026,CH_OTA_BKG,CORP,3,779.76,Cancelled,TRUE,0.18,140.3568,639.4032
BK_00096,12/3/2025,16/5/2025,CH_DIRECT,RACK,2,850.76,Confirmed,TRUE,0,0,850.76
BK_00097,20/3/2026,6/5/2026,CH_WHOLE,PROMO,2,307.96,Checked-Out,TRUE,0,0,307.96
BK_00098,29/10/2026,3/12/2026,CH_WHOLE,NET,2,853.62,Checked-Out,FALSE,0,0,853.62
BK_00099,2/10/2025,13/11/2025,CH_OTA_EXP,RACK,2,900.57,Confirmed,TRUE,0.15,135.0855,765.4845
BK_00100,21/4/2026,3/7/2026,CH_WHOLE,CORP,1,287.61,Cancelled,TRUE,0,0,287.61
BK_00101,6/7/2025,7/9/2025,CH_OTA_EXP,CORP,2,445.88,Checked-Out,TRUE,0.15,66.882,378.998
BK_00102,20/12/2026,25/1/2027,CH_OTA_BKG,PROMO,1,181.37,Cancelled,TRUE,0.18,32.6466,148.7234
BK_00103,16/5/2026,27/7/2026,CH_OTA_EXP,NET,3,1136.92,Cancelled,FALSE,0.15,0,1136.92
BK_00104,18/1/2025,30/1/2025,CH_DIRECT,PROMO,2,741.1,Cancelled,TRUE,0,0,741.1
BK_00105,11/11/2026,25/1/2027,CH_DIRECT,NET,3,908.96,Cancelled,FALSE,0,0,908.96
BK_00106,18/7/2026,30/8/2026,CH_DIRECT,NET,2,417.56,Confirmed,FALSE,0,0,417.56
BK_00107,4/5/2025,29/5/2025,CH_DIRECT,RACK,3,915.19,Checked-Out,TRUE,0,0,915.19
BK_00108,9/7/2025,3/8/2025,CH_OTA_EXP,NET,2,768.65,Checked-Out,FALSE,0.15,0,768.65
BK_00109,4/9/2026,11/10/2026,CH_OTA_BKG,PROMO,2,351.09,Confirmed,TRUE,0.18,63.1962,287.8938
BK_00110,6/11/2025,8/11/2025,CH_OTA_EXP,CORP,1,489.2,Checked-Out,TRUE,0.15,73.38,415.82
BK_00111,27/10/2025,25/1/2026,CH_OTA_EXP,NET,1,446.54,Checked-Out,FALSE,0.15,0,446.54
BK_00112,19/10/2025,19/12/2025,CH_WHOLE,NET,2,314.87,Confirmed,FALSE,0,0,314.87
BK_00113,16/9/2025,17/11/2025,CH_OTA_BKG,RACK,2,573.07,Checked-Out,TRUE,0.18,103.1526,469.9174
BK_00114,7/10/2026,3/1/2027,CH_OTA_BKG,PROMO,1,420.68,Cancelled,TRUE,0.18,75.7224,344.9576
BK_00115,29/3/2025,30/4/2025,CH_OTA_BKG,NET,3,991.12,Checked-Out,FALSE,0.18,0,991.12
BK_00116,20/8/2025,26/10/2025,CH_WHOLE,NET,2,409.78,Checked-Out,FALSE,0,0,409.78
BK_00117,16/3/2026,25/4/2026,CH_OTA_BKG,RACK,1,342.72,Cancelled,TRUE,0.18,61.6896,281.0304
BK_00118,8/11/2026,19/11/2026,CH_OTA_EXP,PROMO,1,311.84,Confirmed,TRUE,0.15,46.776,265.064
BK_00119,3/1/2025,25/2/2025,CH_WHOLE,NET,2,187.42,Cancelled,FALSE,0,0,187.42
BK_00120,25/12/2026,31/1/2027,CH_WHOLE,RACK,3,534.11,Cancelled,TRUE,0,0,534.11
BK_00121,3/10/2026,18/12/2026,CH_OTA_EXP,NET,1,308.72,Checked-Out,FALSE,0.15,0,308.72
BK_00122,2/6/2025,7/7/2025,CH_OTA_EXP,RACK,1,149.69,Cancelled,TRUE,0.15,22.4535,127.2365
BK_00123,2/9/2026,14/11/2026,CH_DIRECT,NET,1,276.85,Cancelled,FALSE,0,0,276.85
BK_00124,18/12/2026,8/2/2027,CH_DIRECT,NET,2,227.57,Confirmed,FALSE,0,0,227.57
BK_00125,19/3/2026,30/4/2026,CH_DIRECT,RACK,1,176.15,Checked-Out,TRUE,0,0,176.15
BK_00126,13/8/2026,28/10/2026,CH_OTA_BKG,CORP,3,290.69,Confirmed,TRUE,0.18,52.3242,238.3658
BK_00127,27/4/2026,3/7/2026,CH_WHOLE,CORP,1,498.72,Cancelled,TRUE,0,0,498.72
BK_00128,13/10/2026,15/12/2026,CH_OTA_BKG,NET,2,503.01,Cancelled,FALSE,0.18,0,503.01
BK_00129,18/11/2026,2/12/2026,CH_OTA_EXP,CORP,2,742.69,Cancelled,TRUE,0.15,111.4035,631.2865
BK_00130,10/11/2026,1/1/2027,CH_OTA_BKG,NET,1,212.1,Cancelled,FALSE,0.18,0,212.1
BK_00131,29/4/2025,20/6/2025,CH_OTA_BKG,NET,2,205.53,Checked-Out,FALSE,0.18,0,205.53
BK_00132,6/1/2026,27/3/2026,CH_WHOLE,NET,1,165.49,Checked-Out,FALSE,0,0,165.49
BK_00133,15/5/2025,21/6/2025,CH_WHOLE,NET,1,92.13,Checked-Out,FALSE,0,0,92.13
BK_00134,16/9/2026,17/10/2026,CH_OTA_EXP,CORP,3,257.23,Cancelled,TRUE,0.15,38.5845,218.6455
BK_00135,6/4/2025,5/5/2025,CH_OTA_BKG,NET,1,352.04,Confirmed,FALSE,0.18,0,352.04
BK_00136,26/5/2026,3/7/2026,CH_DIRECT,NET,2,983.41,Confirmed,FALSE,0,0,983.41
BK_00137,13/4/2026,23/6/2026,CH_OTA_EXP,NET,1,467.18,Checked-Out,FALSE,0.15,0,467.18
BK_00138,20/5/2025,29/5/2025,CH_DIRECT,NET,2,944.77,Checked-Out,FALSE,0,0,944.77
BK_00139,1/10/2025,2/10/2025,CH_DIRECT,CORP,3,970.7,Checked-Out,TRUE,0,0,970.7
BK_00140,17/5/2026,6/6/2026,CH_WHOLE,NET,2,439.25,Checked-Out,FALSE,0,0,439.25
BK_00141,22/1/2026,22/3/2026,CH_DIRECT,PROMO,3,540.89,Cancelled,TRUE,0,0,540.89
BK_00142,28/8/2025,20/10/2025,CH_OTA_BKG,CORP,3,835.95,Cancelled,TRUE,0.18,150.471,685.479
BK_00143,31/1/2026,26/4/2026,CH_OTA_EXP,NET,1,133.02,Checked-Out,FALSE,0.15,0,133.02
BK_00144,6/12/2025,19/12/2025,CH_WHOLE,RACK,3,1387.16,Confirmed,TRUE,0,0,1387.16
BK_00145,28/5/2025,20/7/2025,CH_OTA_EXP,RACK,2,816.48,Cancelled,TRUE,0.15,122.472,694.008
BK_00146,13/12/2025,3/3/2026,CH_WHOLE,RACK,2,875.97,Checked-Out,TRUE,0,0,875.97
BK_00147,25/1/2026,7/3/2026,CH_WHOLE,RACK,3,326.21,Checked-Out,TRUE,0,0,326.21
BK_00148,2/12/2026,8/1/2027,CH_OTA_EXP,RACK,2,981.8,Checked-Out,TRUE,0.15,147.27,834.53
BK_00149,22/12/2026,4/1/2027,CH_WHOLE,PROMO,3,617.33,Confirmed,TRUE,0,0,617.33
BK_00150,17/2/2025,31/3/2025,CH_OTA_BKG,CORP,2,474.87,Confirmed,TRUE,0.18,85.4766,389.3934
BK_00151,8/9/2025,15/11/2025,CH_WHOLE,PROMO,1,153.53,Checked-Out,TRUE,0,0,153.53
BK_00152,27/1/2026,17/4/2026,CH_OTA_EXP,NET,3,420.33,Cancelled,FALSE,0.15,0,420.33
BK_00153,16/10/2026,18/11/2026,CH_WHOLE,CORP,3,251.84,Cancelled,TRUE,0,0,251.84
BK_00154,22/10/2025,17/1/2026,CH_OTA_EXP,RACK,2,954,Checked-Out,TRUE,0.15,143.1,810.9
BK_00155,3/11/2025,24/1/2026,CH_WHOLE,CORP,2,870.06,Confirmed,TRUE,0,0,870.06
BK_00156,29/1/2026,1/4/2026,CH_OTA_BKG,PROMO,2,640.42,Checked-Out,TRUE,0.18,115.2756,525.1444
BK_00157,30/10/2025,28/1/2026,CH_DIRECT,RACK,3,738.72,Confirmed,TRUE,0,0,738.72
BK_00158,3/8/2026,30/10/2026,CH_OTA_BKG,NET,2,811.62,Confirmed,FALSE,0.18,0,811.62
BK_00159,14/9/2026,30/10/2026,CH_OTA_EXP,PROMO,3,555.79,Checked-Out,TRUE,0.15,83.3685,472.4215
BK_00160,7/11/2026,3/2/2027,CH_OTA_EXP,RACK,3,1054.39,Cancelled,TRUE,0.15,158.1585,896.2315
BK_00161,28/3/2026,2/4/2026,CH_DIRECT,PROMO,1,462.04,Cancelled,TRUE,0,0,462.04
BK_00162,2/3/2026,25/3/2026,CH_OTA_EXP,PROMO,3,1344.34,Cancelled,TRUE,0.15,201.651,1142.689
BK_00163,28/6/2026,1/9/2026,CH_DIRECT,PROMO,2,927.8,Cancelled,TRUE,0,0,927.8
BK_00164,30/10/2025,13/12/2025,CH_OTA_BKG,NET,1,139.12,Confirmed,FALSE,0.18,0,139.12
BK_00165,24/11/2026,19/2/2027,CH_WHOLE,CORP,1,412.09,Confirmed,TRUE,0,0,412.09
BK_00166,28/9/2025,6/12/2025,CH_OTA_BKG,NET,2,725.18,Checked-Out,FALSE,0.18,0,725.18
BK_00167,26/9/2025,10/12/2025,CH_WHOLE,CORP,1,363.43,Cancelled,TRUE,0,0,363.43
BK_00168,26/1/2025,16/4/2025,CH_DIRECT,PROMO,3,319.65,Cancelled,TRUE,0,0,319.65
BK_00169,19/12/2026,27/1/2027,CH_WHOLE,RACK,1,99.05,Confirmed,TRUE,0,0,99.05
BK_00170,8/11/2025,11/1/2026,CH_OTA_BKG,RACK,1,452.65,Confirmed,TRUE,0.18,81.477,371.173
BK_00171,2/2/2026,2/4/2026,CH_DIRECT,NET,3,1175.26,Confirmed,FALSE,0,0,1175.26
BK_00172,1/3/2026,24/5/2026,CH_OTA_BKG,NET,3,754.23,Cancelled,FALSE,0.18,0,754.23
BK_00173,3/2/2025,3/5/2025,CH_DIRECT,PROMO,2,533.54,Confirmed,TRUE,0,0,533.54
BK_00174,7/1/2026,20/1/2026,CH_DIRECT,CORP,1,247.22,Confirmed,TRUE,0,0,247.22
BK_00175,6/5/2025,4/7/2025,CH_OTA_BKG,PROMO,3,1045.76,Confirmed,TRUE,0.18,188.2368,857.5232
BK_00176,21/2/2025,5/4/2025,CH_OTA_EXP,PROMO,3,498.56,Checked-Out,TRUE,0.15,74.784,423.776
BK_00177,1/8/2025,16/10/2025,CH_OTA_EXP,PROMO,2,810.47,Checked-Out,TRUE,0.15,121.5705,688.8995
BK_00178,3/1/2025,8/2/2025,CH_OTA_EXP,PROMO,3,555.82,Confirmed,TRUE,0.15,83.373,472.447
BK_00179,23/4/2025,17/7/2025,CH_OTA_BKG,PROMO,1,230.46,Confirmed,TRUE,0.18,41.4828,188.9772
BK_00180,26/8/2026,7/10/2026,CH_OTA_BKG,PROMO,2,204.02,Checked-Out,TRUE,0.18,36.7236,167.2964
BK_00181,8/3/2026,15/5/2026,CH_OTA_BKG,RACK,2,536.55,Cancelled,TRUE,0.18,96.579,439.971
BK_00182,10/6/2026,25/8/2026,CH_OTA_BKG,NET,3,519.15,Checked-Out,FALSE,0.18,0,519.15
BK_00183,14/2/2025,10/5/2025,CH_DIRECT,NET,3,1454.67,Confirmed,FALSE,0,0,1454.67
BK_00184,6/5/2026,27/6/2026,CH_WHOLE,RACK,2,758.42,Cancelled,TRUE,0,0,758.42
BK_00185,17/3/2025,28/3/2025,CH_DIRECT,PROMO,1,133,Checked-Out,TRUE,0,0,133
BK_00186,11/10/2026,25/12/2026,CH_DIRECT,NET,3,908.5,Cancelled,FALSE,0,0,908.5
BK_00187,2/6/2026,19/8/2026,CH_WHOLE,RACK,3,384.16,Checked-Out,TRUE,0,0,384.16
BK_00188,29/10/2026,8/1/2027,CH_OTA_EXP,NET,2,906,Cancelled,FALSE,0.15,0,906
BK_00189,14/12/2025,11/2/2026,CH_WHOLE,NET,3,359.81,Cancelled,FALSE,0,0,359.81
BK_00190,17/11/2025,11/2/2026,CH_DIRECT,CORP,1,368.46,Cancelled,TRUE,0,0,368.46
BK_00191,10/3/2025,22/3/2025,CH_OTA_BKG,RACK,2,241.11,Checked-Out,TRUE,0.18,43.3998,197.7102
BK_00192,17/1/2026,3/2/2026,CH_OTA_BKG,CORP,3,394.01,Cancelled,TRUE,0.18,70.9218,323.0882
BK_00193,13/11/2026,7/1/2027,CH_OTA_BKG,CORP,3,633.69,Confirmed,TRUE,0.18,114.0642,519.6258
BK_00194,15/8/2026,19/10/2026,CH_OTA_EXP,PROMO,3,847.56,Confirmed,TRUE,0.15,127.134,720.426
BK_00195,25/12/2025,7/3/2026,CH_DIRECT,RACK,2,642.24,Cancelled,TRUE,0,0,642.24
BK_00196,29/7/2026,17/10/2026,CH_OTA_BKG,CORP,1,155.77,Checked-Out,TRUE,0.18,28.0386,127.7314
BK_00197,13/11/2025,27/12/2025,CH_DIRECT,RACK,1,445.34,Checked-Out,TRUE,0,0,445.34
BK_00198,5/11/2026,27/12/2026,CH_OTA_BKG,PROMO,3,1037.8,Confirmed,TRUE,0.18,186.804,850.996
BK_00199,4/4/2025,11/6/2025,CH_OTA_EXP,NET,2,541.06,Confirmed,FALSE,0.15,0,541.06
BK_00200,14/1/2026,23/2/2026,CH_DIRECT,RACK,1,145.34,Checked-Out,TRUE,0,0,145.34
BK_00201,20/2/2025,18/5/2025,CH_OTA_BKG,CORP,2,716.03,Cancelled,TRUE,0.18,128.8854,587.1446
BK_00202,14/9/2026,10/11/2026,CH_WHOLE,CORP,1,397.08,Confirmed,TRUE,0,0,397.08
BK_00203,20/12/2025,14/2/2026,CH_OTA_BKG,CORP,3,1094.89,Cancelled,TRUE,0.18,197.0802,897.8098
BK_00204,24/6/2026,18/9/2026,CH_DIRECT,RACK,1,246.01,Checked-Out,TRUE,0,0,246.01
BK_00205,26/2/2025,27/2/2025,CH_OTA_EXP,CORP,1,402.29,Cancelled,TRUE,0.15,60.3435,341.9465
BK_00206,24/10/2025,5/12/2025,CH_OTA_BKG,RACK,2,787.49,Confirmed,TRUE,0.18,141.7482,645.7418
BK_00207,13/5/2025,1/7/2025,CH_OTA_EXP,CORP,1,246.77,Checked-Out,TRUE,0.15,37.0155,209.7545
BK_00208,13/2/2025,10/4/2025,CH_OTA_BKG,NET,1,442.09,Checked-Out,FALSE,0.18,0,442.09
BK_00209,16/3/2026,29/5/2026,CH_WHOLE,NET,2,256.75,Confirmed,FALSE,0,0,256.75
BK_00210,29/11/2025,21/12/2025,CH_WHOLE,CORP,1,263.42,Confirmed,TRUE,0,0,263.42
BK_00211,7/9/2025,2/11/2025,CH_WHOLE,RACK,2,891.24,Checked-Out,TRUE,0,0,891.24
BK_00212,14/12/2025,12/1/2026,CH_DIRECT,PROMO,1,294.4,Confirmed,TRUE,0,0,294.4
BK_00213,28/6/2026,2/9/2026,CH_OTA_EXP,CORP,2,771,Checked-Out,TRUE,0.15,115.65,655.35
BK_00214,1/6/2025,2/7/2025,CH_OTA_BKG,PROMO,2,325.71,Checked-Out,TRUE,0.18,58.6278,267.0822
BK_00215,6/6/2025,29/8/2025,CH_OTA_BKG,PROMO,3,862.59,Checked-Out,TRUE,0.18,155.2662,707.3238
BK_00216,17/8/2026,14/10/2026,CH_DIRECT,CORP,1,264.7,Cancelled,TRUE,0,0,264.7
BK_00217,29/3/2026,18/6/2026,CH_DIRECT,CORP,3,310.78,Checked-Out,TRUE,0,0,310.78
BK_00218,17/3/2025,26/4/2025,CH_WHOLE,NET,1,103.89,Cancelled,FALSE,0,0,103.89
BK_00219,20/3/2025,11/6/2025,CH_OTA_BKG,NET,2,647.48,Checked-Out,FALSE,0.18,0,647.48
BK_00220,12/2/2025,11/4/2025,CH_OTA_EXP,CORP,3,839.29,Confirmed,TRUE,0.15,125.8935,713.3965
BK_00221,5/3/2025,2/5/2025,CH_OTA_BKG,CORP,3,346.25,Checked-Out,TRUE,0.18,62.325,283.925
BK_00222,26/6/2025,2/7/2025,CH_OTA_EXP,NET,2,600.22,Checked-Out,FALSE,0.15,0,600.22
