booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_cost,net_room_revenue,adr,net_adr,OCC,net_revpar,Day Name
BK_03415,3/1/2025,30/3/2025,CH_WHOLE,PROMO,2,349.29,Checked-Out,TRUE,0,0,349.29,174.645,174.645,2%,3.4929,Sunday
BK_04921,3/1/2025,3/4/2025,CH_OTA_BKG,NET,1,370.7,Checked-Out,FALSE,0.18,0,370.7,370.7,370.7,1%,3.707,Thursday
BK_00178,3/1/2025,8/2/2025,CH_OTA_EXP,PROMO,3,555.82,Confirmed,TRUE,0.15,83.373,472.447,185.2733333,157.4823333,3%,4.72447,Saturday
BK_01549,3/1/2025,30/1/2025,CH_OTA_BKG,CORP,3,837.15,Confirmed,TRUE,0.18,150.687,686.463,279.05,228.821,3%,6.86463,Thursday
BK_04898,3/1/2025,16/2/2025,CH_OTA_EXP,RACK,2,231.43,Confirmed,TRUE,0.15,34.7145,196.7155,115.715,98.35775,2%,1.967155,Sunday
BK_04386,3/1/2025,28/1/2025,CH_DIRECT,CORP,2,246.61,Checked-Out,TRUE,0,0,246.61,123.305,123.305,2%,2.4661,Tuesday
BK_00119,3/1/2025,25/2/2025,CH_WHOLE,NET,2,187.42,Cancelled,FALSE,0,0,187.42,93.71,93.71,2%,1.8742,Tuesday
BK_02917,3/1/2025,18/3/2025,CH_OTA_EXP,PROMO,2,577.43,Confirmed,TRUE,0.15,86.6145,490.8155,288.715,245.40775,2%,4.908155,Tuesday
BK_02215,4/1/2025,1/3/2025,CH_OTA_EXP,PROMO,1,381.13,Cancelled,TRUE,0.15,57.1695,323.9605,381.13,323.9605,1%,3.239605,Saturday
BK_03194,4/1/2025,15/2/2025,CH_OTA_BKG,CORP,1,193.46,Checked-Out,TRUE,0.18,34.8228,158.6372,193.46,158.6372,1%,1.586372,Saturday
BK_01404,4/1/2025,4/3/2025,CH_WHOLE,PROMO,1,332.8,Checked-Out,TRUE,0,0,332.8,332.8,332.8,1%,3.328,Tuesday
BK_03452,4/1/2025,15/2/2025,CH_OTA_BKG,RACK,2,926.15,Cancelled,TRUE,0.18,166.707,759.443,463.075,379.7215,2%,7.59443,Saturday
BK_02246,4/1/2025,15/2/2025,CH_DIRECT,NET,3,424.11,Cancelled,FALSE,0,0,424.11,141.37,141.37,3%,4.2411,Saturday
BK_03370,5/1/2025,6/1/2025,CH_OTA_BKG,RACK,2,260.05,Confirmed,TRUE,0.18,46.809,213.241,130.025,106.6205,2%,2.13241,Monday
BK_04161,5/1/2025,24/3/2025,CH_OTA_EXP,CORP,2,659.27,Checked-Out,TRUE,0.15,98.8905,560.3795,329.635,280.18975,2%,5.603795,Monday
BK_03646,5/1/2025,14/1/2025,CH_DIRECT,CORP,1,354,Checked-Out,TRUE,0,0,354,354,354,1%,3.54,Tuesday
BK_00582,5/1/2025,27/3/2025,CH_OTA_EXP,PROMO,3,1345,Cancelled,TRUE,0.15,201.75,1143.25,448.3333333,381.0833333,3%,11.4325,Thursday
BK_03927,5/1/2025,18/1/2025,CH_DIRECT,NET,2,965.5,Checked-Out,FALSE,0,0,965.5,482.75,482.75,2%,9.655,Saturday
BK_00888,5/1/2025,14/2/2025,CH_OTA_BKG,RACK,2,552.18,Confirmed,TRUE,0.18,99.3924,452.7876,276.09,226.3938,2%,4.527876,Friday
BK_00860,6/1/2025,25/3/2025,CH_WHOLE,PROMO,1,327.32,Cancelled,TRUE,0,0,327.32,327.32,327.32,1%,3.2732,Tuesday
BK_01853,6/1/2025,10/2/2025,CH_OTA_EXP,NET,3,869.77,Checked-Out,FALSE,0.15,0,869.77,289.9233333,289.9233333,3%,8.6977,Monday
BK_02561,6/1/2025,9/2/2025,CH_DIRECT,PROMO,3,1435.04,Cancelled,TRUE,0,0,1435.04,478.3466667,478.3466667,3%,14.3504,Sunday
BK_04462,6/1/2025,16/1/2025,CH_DIRECT,PROMO,2,788.11,Cancelled,TRUE,0,0,788.11,394.055,394.055,2%,7.8811,Thursday
BK_02011,6/1/2025,27/2/2025,CH_OTA_BKG,NET,2,702.47,Confirmed,FALSE,0.18,0,702.47,351.235,351.235,2%,7.0247,Thursday
BK_01736,6/1/2025,22/2/2025,CH_WHOLE,RACK,2,315.66,Checked-Out,TRUE,0,0,315.66,157.83,157.83,2%,3.1566,Saturday
BK_03906,6/1/2025,29/1/2025,CH_DIRECT,NET,2,322.39,Confirmed,FALSE,0,0,322.39,161.195,161.195,2%,3.2239,Wednesday
BK_01712,7/1/2025,11/3/2025,CH_OTA_EXP,RACK,1,80.01,Checked-Out,TRUE,0.15,12.0015,68.0085,80.01,68.0085,1%,0.680085,Tuesday
BK_01813,7/1/2025,11/3/2025,CH_OTA_BKG,CORP,1,198.37,Checked-Out,TRUE,0.18,35.7066,162.6634,198.37,162.6634,1%,1.626634,Tuesday
BK_00658,7/1/2025,31/3/2025,CH_OTA_BKG,RACK,3,1308.8,Cancelled,TRUE,0.18,235.584,1073.216,436.2666667,357.7386667,3%,10.73216,Monday
BK_03600,7/1/2025,17/3/2025,CH_WHOLE,CORP,3,570.64,Cancelled,TRUE,0,0,570.64,190.2133333,190.2133333,3%,5.7064,Monday
BK_02977,7/1/2025,13/2/2025,CH_DIRECT,NET,2,793.56,Checked-Out,FALSE,0,0,793.56,396.78,396.78,2%,7.9356,Thursday
BK_00701,8/1/2025,23/3/2025,CH_OTA_BKG,RACK,2,709.82,Checked-Out,TRUE,0.18,127.7676,582.0524,354.91,291.0262,2%,5.820524,Sunday
BK_04019,8/1/2025,1/2/2025,CH_OTA_EXP,RACK,2,239.98,Checked-Out,TRUE,0.15,35.997,203.983,119.99,101.9915,2%,2.03983,Saturday
BK_01473,8/1/2025,4/3/2025,CH_DIRECT,PROMO,3,1073.08,Checked-Out,TRUE,0,0,1073.08,357.6933333,357.6933333,3%,10.7308,Tuesday
BK_04304,8/1/2025,8/4/2025,CH_DIRECT,NET,2,454.87,Confirmed,FALSE,0,0,454.87,227.435,227.435,2%,4.5487,Tuesday
BK_04987,8/1/2025,2/3/2025,CH_OTA_EXP,PROMO,1,191.7,Checked-Out,TRUE,0.15,28.755,162.945,191.7,162.945,1%,1.62945,Sunday
BK_04231,9/1/2025,28/3/2025,CH_OTA_EXP,CORP,2,735.27,Cancelled,TRUE,0.15,110.2905,624.9795,367.635,312.48975,2%,6.249795,Friday
BK_00561,9/1/2025,7/2/2025,CH_DIRECT,CORP,3,1458.45,Checked-Out,TRUE,0,0,1458.45,486.15,486.15,3%,14.5845,Friday
BK_03486,9/1/2025,5/2/2025,CH_OTA_EXP,PROMO,1,457.37,Checked-Out,TRUE,0.15,68.6055,388.7645,457.37,388.7645,1%,3.887645,Wednesday
BK_04455,9/1/2025,16/1/2025,CH_OTA_EXP,CORP,3,875.44,Confirmed,TRUE,0.15,131.316,744.124,291.8133333,248.0413333,3%,7.44124,Thursday
BK_01905,9/1/2025,30/1/2025,CH_WHOLE,NET,2,442.8,Confirmed,FALSE,0,0,442.8,221.4,221.4,2%,4.428,Thursday
BK_04306,9/1/2025,29/3/2025,CH_DIRECT,RACK,2,575.79,Confirmed,TRUE,0,0,575.79,287.895,287.895,2%,5.7579,Saturday
BK_03882,9/1/2025,16/2/2025,CH_OTA_BKG,CORP,2,364.84,Cancelled,TRUE,0.18,65.6712,299.1688,182.42,149.5844,2%,2.991688,Sunday
BK_03322,9/1/2025,28/3/2025,CH_OTA_BKG,RACK,2,322.12,Checked-Out,TRUE,0.18,57.9816,264.1384,161.06,132.0692,2%,2.641384,Friday
BK_04104,9/1/2025,7/3/2025,CH_OTA_BKG,PROMO,1,100.18,Confirmed,TRUE,0.18,18.0324,82.1476,100.18,82.1476,1%,0.821476,Friday
BK_03366,10/1/2025,1/2/2025,CH_OTA_BKG,PROMO,1,392.26,Cancelled,TRUE,0.18,70.6068,321.6532,392.26,321.6532,1%,3.216532,Saturday
BK_03359,10/1/2025,16/3/2025,CH_DIRECT,CORP,2,377.41,Checked-Out,TRUE,0,0,377.41,188.705,188.705,2%,3.7741,Sunday
BK_00045,10/1/2025,10/3/2025,CH_OTA_BKG,RACK,3,508.57,Cancelled,TRUE,0.18,91.5426,417.0274,169.5233333,139.0091333,3%,4.170274,Monday
BK_00776,10/1/2025,16/1/2025,CH_WHOLE,PROMO,2,807.47,Confirmed,TRUE,0,0,807.47,403.735,403.735,2%,8.0747,Thursday
BK_01997,10/1/2025,26/3/2025,CH_WHOLE,RACK,3,1357.01,Checked-Out,TRUE,0,0,1357.01,452.3366667,452.3366667,3%,13.5701,Wednesday
BK_00052,10/1/2025,25/1/2025,CH_OTA_BKG,PROMO,3,285.4,Cancelled,TRUE,0.18,51.372,234.028,95.13333333,78.00933333,3%,2.34028,Saturday
BK_03225,11/1/2025,22/2/2025,CH_OTA_EXP,RACK,1,148.89,Confirmed,TRUE,0.15,22.3335,126.5565,148.89,126.5565,1%,1.265565,Saturday
BK_03448,11/1/2025,19/2/2025,CH_OTA_BKG,NET,3,1259.8,Confirmed,FALSE,0.18,0,1259.8,419.9333333,419.9333333,3%,12.598,Wednesday
BK_03716,11/1/2025,18/2/2025,CH_WHOLE,PROMO,2,917.51,Cancelled,TRUE,0,0,917.51,458.755,458.755,2%,9.1751,Tuesday
BK_03164,11/1/2025,28/2/2025,CH_WHOLE,CORP,1,337.07,Cancelled,TRUE,0,0,337.07,337.07,337.07,1%,3.3707,Friday
BK_01471,11/1/2025,7/3/2025,CH_OTA_EXP,NET,2,592.61,Checked-Out,FALSE,0.15,0,592.61,296.305,296.305,2%,5.9261,Friday
BK_04548,11/1/2025,30/1/2025,CH_OTA_EXP,PROMO,2,618,Checked-Out,TRUE,0.15,92.7,525.3,309,262.65,2%,5.253,Thursday
BK_02206,11/1/2025,26/3/2025,CH_OTA_BKG,CORP,2,327.7,Cancelled,TRUE,0.18,58.986,268.714,163.85,134.357,2%,2.68714,Wednesday
BK_04531,12/1/2025,7/2/2025,CH_OTA_BKG,NET,2,932.91,Cancelled,FALSE,0.18,0,932.91,466.455,466.455,2%,9.3291,Friday
BK_00468,12/1/2025,2/2/2025,CH_WHOLE,CORP,3,891.7,Checked-Out,TRUE,0,0,891.7,297.2333333,297.2333333,3%,8.917,Sunday
BK_04638,12/1/2025,4/4/2025,CH_OTA_BKG,CORP,1,465.73,Confirmed,TRUE,0.18,83.8314,381.8986,465.73,381.8986,1%,3.818986,Friday
BK_04151,12/1/2025,26/3/2025,CH_OTA_EXP,NET,3,740.32,Cancelled,FALSE,0.15,0,740.32,246.7733333,246.7733333,3%,7.4032,Wednesday
BK_01641,12/1/2025,24/2/2025,CH_OTA_EXP,NET,3,1242,Confirmed,FALSE,0.15,0,1242,414,414,3%,12.42,Monday
BK_04299,12/1/2025,5/2/2025,CH_DIRECT,PROMO,3,456.28,Confirmed,TRUE,0,0,456.28,152.0933333,152.0933333,3%,4.5628,Wednesday
BK_02868,13/1/2025,7/4/2025,CH_OTA_BKG,RACK,3,1227.89,Confirmed,TRUE,0.18,221.0202,1006.8698,409.2966667,335.6232667,3%,10.068698,Monday
BK_02958,13/1/2025,9/2/2025,CH_OTA_BKG,RACK,2,452.5,Confirmed,TRUE,0.18,81.45,371.05,226.25,185.525,2%,3.7105,Sunday
BK_01988,13/1/2025,22/3/2025,CH_OTA_EXP,PROMO,2,717.97,Cancelled,TRUE,0.15,107.6955,610.2745,358.985,305.13725,2%,6.102745,Saturday
BK_02333,13/1/2025,28/1/2025,CH_DIRECT,RACK,2,899.52,Confirmed,TRUE,0,0,899.52,449.76,449.76,2%,8.9952,Tuesday
BK_00474,13/1/2025,14/2/2025,CH_OTA_BKG,NET,2,481.7,Confirmed,FALSE,0.18,0,481.7,240.85,240.85,2%,4.817,Friday
BK_03290,13/1/2025,9/4/2025,CH_DIRECT,PROMO,1,362.8,Confirmed,TRUE,0,0,362.8,362.8,362.8,1%,3.628,Wednesday
BK_04241,13/1/2025,14/3/2025,CH_DIRECT,NET,2,565,Confirmed,FALSE,0,0,565,282.5,282.5,2%,5.65,Friday
BK_03380,13/1/2025,22/1/2025,CH_DIRECT,PROMO,2,800.62,Cancelled,TRUE,0,0,800.62,400.31,400.31,2%,8.0062,Wednesday
BK_03341,13/1/2025,17/1/2025,CH_WHOLE,PROMO,3,821.46,Confirmed,TRUE,0,0,821.46,273.82,273.82,3%,8.2146,Friday
BK_02111,13/1/2025,20/2/2025,CH_OTA_EXP,RACK,3,848.92,Cancelled,TRUE,0.15,127.338,721.582,282.9733333,240.5273333,3%,7.21582,Thursday
BK_02898,14/1/2025,7/4/2025,CH_WHOLE,CORP,2,888.7,Checked-Out,TRUE,0,0,888.7,444.35,444.35,2%,8.887,Monday
BK_03832,14/1/2025,18/3/2025,CH_WHOLE,PROMO,3,367.97,Confirmed,TRUE,0,0,367.97,122.6566667,122.6566667,3%,3.6797,Tuesday
BK_02998,14/1/2025,31/1/2025,CH_OTA_BKG,PROMO,1,196.34,Checked-Out,TRUE,0.18,35.3412,160.9988,196.34,160.9988,1%,1.609988,Friday
BK_03074,14/1/2025,9/4/2025,CH_OTA_BKG,PROMO,2,306.59,Checked-Out,TRUE,0.18,55.1862,251.4038,153.295,125.7019,2%,2.514038,Wednesday
BK_03978,14/1/2025,24/3/2025,CH_DIRECT,NET,2,887.72,Checked-Out,FALSE,0,0,887.72,443.86,443.86,2%,8.8772,Monday
BK_02166,15/1/2025,4/2/2025,CH_DIRECT,CORP,1,227.05,Confirmed,TRUE,0,0,227.05,227.05,227.05,1%,2.2705,Tuesday
BK_03083,16/1/2025,26/1/2025,CH_WHOLE,RACK,1,386.16,Confirmed,TRUE,0,0,386.16,386.16,386.16,1%,3.8616,Sunday
BK_02619,16/1/2025,29/3/2025,CH_WHOLE,NET,1,362.24,Checked-Out,FALSE,0,0,362.24,362.24,362.24,1%,3.6224,Saturday
BK_02903,16/1/2025,25/3/2025,CH_OTA_EXP,NET,3,939.83,Checked-Out,FALSE,0.15,0,939.83,313.2766667,313.2766667,3%,9.3983,Tuesday
BK_00892,16/1/2025,6/4/2025,CH_OTA_BKG,PROMO,3,681.4,Cancelled,TRUE,0.18,122.652,558.748,227.1333333,186.2493333,3%,5.58748,Sunday
BK_03449,16/1/2025,26/2/2025,CH_OTA_EXP,RACK,1,122.39,Confirmed,TRUE,0.15,18.3585,104.0315,122.39,104.0315,1%,1.040315,Wednesday
BK_02853,16/1/2025,30/1/2025,CH_WHOLE,NET,2,757.21,Checked-Out,FALSE,0,0,757.21,378.605,378.605,2%,7.5721,Thursday
BK_03597,16/1/2025,18/3/2025,CH_OTA_EXP,PROMO,3,1297.52,Confirmed,TRUE,0.15,194.628,1102.892,432.5066667,367.6306667,3%,11.02892,Tuesday
BK_02656,16/1/2025,28/2/2025,CH_WHOLE,RACK,3,573.78,Checked-Out,TRUE,0,0,573.78,191.26,191.26,3%,5.7378,Friday
BK_02887,16/1/2025,9/2/2025,CH_OTA_EXP,PROMO,1,86.84,Checked-Out,TRUE,0.15,13.026,73.814,86.84,73.814,1%,0.73814,Sunday
BK_00919,17/1/2025,5/2/2025,CH_WHOLE,NET,1,115.56,Checked-Out,FALSE,0,0,115.56,115.56,115.56,1%,1.1556,Wednesday
BK_03717,17/1/2025,3/2/2025,CH_OTA_EXP,CORP,1,233.71,Cancelled,TRUE,0.15,35.0565,198.6535,233.71,198.6535,1%,1.986535,Monday
BK_04423,17/1/2025,7/3/2025,CH_OTA_BKG,CORP,3,276.14,Confirmed,TRUE,0.18,49.7052,226.4348,92.04666667,75.47826667,3%,2.264348,Friday
BK_00975,17/1/2025,21/3/2025,CH_OTA_BKG,RACK,1,155.35,Confirmed,TRUE,0.18,27.963,127.387,155.35,127.387,1%,1.27387,Friday
BK_04692,17/1/2025,22/1/2025,CH_OTA_EXP,CORP,3,1291.97,Cancelled,TRUE,0.15,193.7955,1098.1745,430.6566667,366.0581667,3%,10.981745,Wednesday
BK_00695,17/1/2025,12/2/2025,CH_WHOLE,PROMO,3,361.34,Cancelled,TRUE,0,0,361.34,120.4466667,120.4466667,3%,3.6134,Wednesday
BK_02044,17/1/2025,18/1/2025,CH_WHOLE,NET,2,967.72,Confirmed,FALSE,0,0,967.72,483.86,483.86,2%,9.6772,Saturday
BK_00444,17/1/2025,2/2/2025,CH_OTA_EXP,NET,2,160.57,Cancelled,FALSE,0.15,0,160.57,80.285,80.285,2%,1.6057,Sunday
BK_04111,18/1/2025,7/4/2025,CH_DIRECT,PROMO,1,473.19,Cancelled,TRUE,0,0,473.19,473.19,473.19,1%,4.7319,Monday
BK_00104,18/1/2025,30/1/2025,CH_DIRECT,PROMO,2,741.1,Cancelled,TRUE,0,0,741.1,370.55,370.55,2%,7.411,Thursday
BK_04736,18/1/2025,16/2/2025,CH_OTA_EXP,NET,2,454.5,Confirmed,FALSE,0.15,0,454.5,227.25,227.25,2%,4.545,Sunday
BK_03799,18/1/2025,19/3/2025,CH_OTA_EXP,CORP,1,97.16,Confirmed,TRUE,0.15,14.574,82.586,97.16,82.586,1%,0.82586,Wednesday
BK_02751,18/1/2025,4/4/2025,CH_OTA_EXP,CORP,2,766.12,Confirmed,TRUE,0.15,114.918,651.202,383.06,325.601,2%,6.51202,Friday
BK_01407,18/1/2025,10/4/2025,CH_DIRECT,RACK,3,650.16,Cancelled,TRUE,0,0,650.16,216.72,216.72,3%,6.5016,Thursday
BK_01046,18/1/2025,21/2/2025,CH_OTA_EXP,RACK,1,214.27,Checked-Out,TRUE,0.15,32.1405,182.1295,214.27,182.1295,1%,1.821295,Friday
BK_03752,19/1/2025,16/4/2025,CH_WHOLE,NET,2,585.33,Cancelled,FALSE,0,0,585.33,292.665,292.665,2%,5.8533,Wednesday
BK_03227,19/1/2025,30/3/2025,CH_OTA_EXP,CORP,3,1290.29,Cancelled,TRUE,0.15,193.5435,1096.7465,430.0966667,365.5821667,3%,10.967465,Sunday
BK_02594,19/1/2025,25/1/2025,CH_OTA_EXP,RACK,3,1355.02,Cancelled,TRUE,0.15,203.253,1151.767,451.6733333,383.9223333,3%,11.51767,Saturday
BK_00244,20/1/2025,22/2/2025,CH_OTA_EXP,PROMO,3,1424.68,Checked-Out,TRUE,0.15,213.702,1210.978,474.8933333,403.6593333,3%,12.10978,Saturday
BK_03928,20/1/2025,2/4/2025,CH_OTA_EXP,NET,3,586.62,Confirmed,FALSE,0.15,0,586.62,195.54,195.54,3%,5.8662,Wednesday
BK_00586,20/1/2025,19/2/2025,CH_OTA_EXP,PROMO,1,388.31,Checked-Out,TRUE,0.15,58.2465,330.0635,388.31,330.0635,1%,3.300635,Wednesday
BK_02243,20/1/2025,2/3/2025,CH_OTA_BKG,NET,1,341.91,Confirmed,FALSE,0.18,0,341.91,341.91,341.91,1%,3.4191,Sunday
BK_04813,20/1/2025,23/1/2025,CH_DIRECT,RACK,1,295.57,Checked-Out,TRUE,0,0,295.57,295.57,295.57,1%,2.9557,Thursday
BK_01102,20/1/2025,11/4/2025,CH_OTA_EXP,NET,1,357.54,Checked-Out,FALSE,0.15,0,357.54,357.54,357.54,1%,3.5754,Friday
BK_04642,21/1/2025,12/2/2025,CH_OTA_EXP,NET,1,391.54,Cancelled,FALSE,0.15,0,391.54,391.54,391.54,1%,3.9154,Wednesday
BK_00560,21/1/2025,19/4/2025,CH_OTA_BKG,NET,1,351.9,Checked-Out,FALSE,0.18,0,351.9,351.9,351.9,1%,3.519,Saturday
BK_01894,21/1/2025,12/2/2025,CH_OTA_BKG,PROMO,3,711.91,Confirmed,TRUE,0.18,128.1438,583.7662,237.3033333,194.5887333,3%,5.837662,Wednesday
BK_01530,22/1/2025,6/2/2025,CH_OTA_BKG,RACK,1,184.3,Confirmed,TRUE,0.18,33.174,151.126,184.3,151.126,1%,1.51126,Thursday
BK_03552,22/1/2025,31/3/2025,CH_OTA_EXP,NET,2,713.62,Cancelled,FALSE,0.15,0,713.62,356.81,356.81,2%,7.1362,Monday
BK_01490,22/1/2025,8/2/2025,CH_OTA_EXP,CORP,3,257.2,Checked-Out,TRUE,0.15,38.58,218.62,85.73333333,72.87333333,3%,2.1862,Saturday
BK_01527,22/1/2025,3/3/2025,CH_OTA_EXP,PROMO,2,737.39,Confirmed,TRUE,0.15,110.6085,626.7815,368.695,313.39075,2%,6.267815,Monday
BK_01749,22/1/2025,30/1/2025,CH_OTA_BKG,PROMO,3,1006.26,Cancelled,TRUE,0.18,181.1268,825.1332,335.42,275.0444,3%,8.251332,Thursday
BK_02326,22/1/2025,31/3/2025,CH_DIRECT,RACK,2,557.87,Cancelled,TRUE,0,0,557.87,278.935,278.935,2%,5.5787,Monday
BK_02178,22/1/2025,19/3/2025,CH_DIRECT,PROMO,1,273.17,Checked-Out,TRUE,0,0,273.17,273.17,273.17,1%,2.7317,Wednesday
BK_03159,22/1/2025,10/3/2025,CH_DIRECT,PROMO,1,127.45,Confirmed,TRUE,0,0,127.45,127.45,127.45,1%,1.2745,Monday
BK_03681,22/1/2025,17/4/2025,CH_WHOLE,RACK,1,244.53,Confirmed,TRUE,0,0,244.53,244.53,244.53,1%,2.4453,Thursday
BK_02759,23/1/2025,17/3/2025,CH_OTA_EXP,PROMO,1,441.2,Checked-Out,TRUE,0.15,66.18,375.02,441.2,375.02,1%,3.7502,Monday
BK_04657,23/1/2025,15/4/2025,CH_DIRECT,PROMO,3,1271.85,Confirmed,TRUE,0,0,1271.85,423.95,423.95,3%,12.7185,Tuesday
BK_02823,23/1/2025,14/2/2025,CH_DIRECT,CORP,2,576.3,Cancelled,TRUE,0,0,576.3,288.15,288.15,2%,5.763,Friday
BK_04260,23/1/2025,20/2/2025,CH_WHOLE,PROMO,1,91.89,Checked-Out,TRUE,0,0,91.89,91.89,91.89,1%,0.9189,Thursday
BK_00689,23/1/2025,24/2/2025,CH_OTA_BKG,PROMO,3,986.36,Confirmed,TRUE,0.18,177.5448,808.8152,328.7866667,269.6050667,3%,8.088152,Monday
BK_00338,23/1/2025,15/3/2025,CH_DIRECT,RACK,3,514.56,Confirmed,TRUE,0,0,514.56,171.52,171.52,3%,5.1456,Saturday
BK_02907,23/1/2025,4/2/2025,CH_OTA_EXP,NET,3,1202.64,Cancelled,FALSE,0.15,0,1202.64,400.88,400.88,3%,12.0264,Tuesday
BK_02119,23/1/2025,5/4/2025,CH_WHOLE,RACK,2,560.37,Checked-Out,TRUE,0,0,560.37,280.185,280.185,2%,5.6037,Saturday
BK_04124,24/1/2025,20/2/2025,CH_OTA_BKG,NET,3,414.77,Checked-Out,FALSE,0.18,0,414.77,138.2566667,138.2566667,3%,4.1477,Thursday
BK_01963,24/1/2025,7/3/2025,CH_OTA_EXP,PROMO,3,1028.12,Checked-Out,TRUE,0.15,154.218,873.902,342.7066667,291.3006667,3%,8.73902,Friday
BK_02749,24/1/2025,6/4/2025,CH_WHOLE,PROMO,2,882.27,Checked-Out,TRUE,0,0,882.27,441.135,441.135,2%,8.8227,Sunday
BK_01591,24/1/2025,22/4/2025,CH_WHOLE,CORP,2,693.98,Confirmed,TRUE,0,0,693.98,346.99,346.99,2%,6.9398,Tuesday
BK_02651,24/1/2025,29/3/2025,CH_WHOLE,NET,3,1408.15,Confirmed,FALSE,0,0,1408.15,469.3833333,469.3833333,3%,14.0815,Saturday
BK_03371,24/1/2025,9/4/2025,CH_OTA_BKG,NET,3,1188.74,Checked-Out,FALSE,0.18,0,1188.74,396.2466667,396.2466667,3%,11.8874,Wednesday
BK_04993,24/1/2025,5/3/2025,CH_OTA_EXP,CORP,1,400.59,Confirmed,TRUE,0.15,60.0885,340.5015,400.59,340.5015,1%,3.405015,Wednesday
BK_04069,24/1/2025,31/3/2025,CH_OTA_EXP,NET,2,767.98,Checked-Out,FALSE,0.15,0,767.98,383.99,383.99,2%,7.6798,Monday
BK_02203,25/1/2025,29/3/2025,CH_DIRECT,PROMO,1,352.75,Checked-Out,TRUE,0,0,352.75,352.75,352.75,1%,3.5275,Saturday
BK_04893,25/1/2025,3/2/2025,CH_DIRECT,RACK,1,96.24,Confirmed,TRUE,0,0,96.24,96.24,96.24,1%,0.9624,Monday
BK_01799,25/1/2025,24/4/2025,CH_OTA_EXP,RACK,1,296.26,Checked-Out,TRUE,0.15,44.439,251.821,296.26,251.821,1%,2.51821,Thursday
BK_02374,25/1/2025,23/4/2025,CH_OTA_EXP,RACK,2,758.98,Confirmed,TRUE,0.15,113.847,645.133,379.49,322.5665,2%,6.45133,Wednesday
BK_02545,25/1/2025,29/1/2025,CH_OTA_BKG,CORP,1,398.17,Checked-Out,TRUE,0.18,71.6706,326.4994,398.17,326.4994,1%,3.264994,Wednesday
BK_01839,25/1/2025,24/2/2025,CH_OTA_EXP,RACK,2,789.93,Cancelled,TRUE,0.15,118.4895,671.4405,394.965,335.72025,2%,6.714405,Monday
BK_01239,25/1/2025,3/4/2025,CH_DIRECT,NET,2,236.46,Confirmed,FALSE,0,0,236.46,118.23,118.23,2%,2.3646,Thursday
BK_02145,25/1/2025,29/3/2025,CH_OTA_BKG,CORP,3,849.97,Cancelled,TRUE,0.18,152.9946,696.9754,283.3233333,232.3251333,3%,6.969754,Saturday
