booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status
BK_00080,2025-08-08,2025-08-17,CH_WHOLE,NET,2,615.79,Cancelled
BK_00081,2025-03-05,2025-04-01,CH_WHOLE,NET,3,1432.04,Confirmed
BK_00082,2026-08-13,2026-10-01,CH_WHOLE,RACK,2,410.83,Cancelled
BK_00083,2026-03-06,2026-05-14,CH_OTA_EXP,NET,1,194.63,Cancelled
BK_00084,2025-01-30,2025-03-21,CH_DIRECT,NET,3,447.96,Cancelled
BK_00085,2025-05-11,2025-07-30,CH_OTA_BKG,NET,3,951.13,Confirmed
BK_00086,2025-03-27,2025-06-18,CH_WHOLE,PROMO,2,312.65,Cancelled
BK_00087,2026-01-24,2026-03-07,CH_OTA_EXP,NET,2,443.5,Cancelled
BK_00088,2025-10-12,2025-12-05,CH_DIRECT,RACK,2,176.28,Checked-Out
BK_00089,2025-02-23,2025-04-09,CH_OTA_EXP,RACK,3,290.73,Confirmed
BK_00090,2025-09-11,2025-10-07,CH_OTA_BKG,PROMO,1,133.01,Checked-Out
BK_00091,2025-04-28,2025-07-10,CH_OTA_EXP,NET,3,562.87,Cancelled
BK_00092,2025-06-21,2025-09-07,CH_OTA_BKG,PROMO,2,250.8,Confirmed
BK_00093,2025-11-16,2026-01-29,CH_WHOLE,NET,3,489.9,Checked-Out
BK_00094,2026-12-09,2027-02-28,CH_OTA_EXP,RACK,3,1213.33,Checked-Out
BK_00095,2026-09-07,2026-09-23,CH_OTA_BKG,CORP,3,779.76,Cancelled
BK_00096,2025-03-12,2025-05-16,CH_DIRECT,RACK,2,850.76,Confirmed
BK_00097,2026-03-20,2026-05-06,CH_WHOLE,PROMO,2,307.96,Checked-Out
BK_00098,2026-10-29,2026-12-03,CH_WHOLE,NET,2,853.62,Checked-Out
BK_00099,2025-10-02,2025-11-13,CH_OTA_EXP,RACK,2,900.57,Confirmed
BK_00100,2026-04-21,2026-07-03,CH_WHOLE,CORP,1,287.61,Cancelled
BK_00101,2025-07-06,2025-09-07,CH_OTA_EXP,CORP,2,445.88,Checked-Out
BK_00102,2026-12-20,2027-01-25,CH_OTA_BKG,PROMO,1,181.37,Cancelled
BK_00103,2026-05-16,2026-07-27,CH_OTA_EXP,NET,3,1136.92,Cancelled
BK_00104,2025-01-18,2025-01-30,CH_DIRECT,PROMO,2,741.1,Cancelled
BK_00105,2026-11-11,2027-01-25,CH_DIRECT,NET,3,908.96,Cancelled
BK_00106,2026-07-18,2026-08-30,CH_DIRECT,NET,2,417.56,Confirmed
BK_00107,2025-05-04,2025-05-29,CH_DIRECT,RACK,3,915.19,Checked-Out
BK_00108,2025-07-09,2025-08-03,CH_OTA_EXP,NET,2,768.65,Checked-Out
BK_00109,2026-09-04,2026-10-11,CH_OTA_BKG,PROMO,2,351.09,Confirmed
BK_00110,2025-11-06,2025-11-08,CH_OTA_EXP,CORP,1,489.2,Checked-Out
BK_00111,2025-10-27,2026-01-25,CH_OTA_EXP,NET,1,446.54,Checked-Out
BK_00112,2025-10-19,2025-12-19,CH_WHOLE,NET,2,314.87,Confirmed
BK_00113,2025-09-16,2025-11-17,CH_OTA_BKG,RACK,2,573.07,Checked-Out
BK_00114,2026-10-07,2027-01-03,CH_OTA_BKG,PROMO,1,420.68,Cancelled
BK_00115,2025-03-29,2025-04-30,CH_OTA_BKG,NET,3,991.12,Checked-Out
BK_00116,2025-08-20,2025-10-26,CH_WHOLE,NET,2,409.78,Checked-Out
BK_00117,2026-03-16,2026-04-25,CH_OTA_BKG,RACK,1,342.72,Cancelled
BK_00118,2026-11-08,2026-11-19,CH_OTA_EXP,PROMO,1,311.84,Confirmed
BK_00119,2025-01-03,2025-02-25,CH_WHOLE,NET,2,187.42,Cancelled
BK_00120,2026-12-25,2027-01-31,CH_WHOLE,RACK,3,534.11,Cancelled
BK_00121,2026-10-03,2026-12-18,CH_OTA_EXP,NET,1,308.72,Checked-Out
BK_00122,2025-06-02,2025-07-07,CH_OTA_EXP,RACK,1,149.69,Cancelled
BK_00123,2026-09-02,2026-11-14,CH_DIRECT,NET,1,276.85,Cancelled
BK_00124,2026-12-18,2027-02-08,CH_DIRECT,NET,2,227.57,Confirmed
BK_00125,2026-03-19,2026-04-30,CH_DIRECT,RACK,1,176.15,Checked-Out
BK_00126,2026-08-13,2026-10-28,CH_OTA_BKG,CORP,3,290.69,Confirmed
BK_00127,2026-04-27,2026-07-03,CH_WHOLE,CORP,1,498.72,Cancelled
BK_00128,2026-10-13,2026-12-15,CH_OTA_BKG,NET,2,503.01,Cancelled
BK_00129,2026-11-18,2026-12-02,CH_OTA_EXP,CORP,2,742.69,Cancelled
BK_00130,2026-11-10,2027-01-01,CH_OTA_BKG,NET,1,212.1,Cancelled
BK_00131,2025-04-29,2025-06-20,CH_OTA_BKG,NET,2,205.53,Checked-Out
BK_00132,2026-01-06,2026-03-27,CH_WHOLE,NET,1,165.49,Checked-Out
BK_00133,2025-05-15,2025-06-21,CH_WHOLE,NET,1,92.13,Checked-Out
BK_00134,2026-09-16,2026-10-17,CH_OTA_EXP,CORP,3,257.23,Cancelled
BK_00135,2025-04-06,2025-05-05,CH_OTA_BKG,NET,1,352.04,Confirmed
BK_00136,2026-05-26,2026-07-03,CH_DIRECT,NET,2,983.41,Confirmed
BK_00137,2026-04-13,2026-06-23,CH_OTA_EXP,NET,1,467.18,Checked-Out
BK_00138,2025-05-20,2025-05-29,CH_DIRECT,NET,2,944.77,Checked-Out
BK_00139,2025-10-01,2025-10-02,CH_DIRECT,CORP,3,970.7,Checked-Out
BK_00140,2026-05-17,2026-06-06,CH_WHOLE,NET,2,439.25,Checked-Out
BK_00141,2026-01-22,2026-03-22,CH_DIRECT,PROMO,3,540.89,Cancelled
BK_00142,2025-08-28,2025-10-20,CH_OTA_BKG,CORP,3,835.95,Cancelled
BK_00143,2026-01-31,2026-04-26,CH_OTA_EXP,NET,1,133.02,Checked-Out
BK_00144,2025-12-06,2025-12-19,CH_WHOLE,RACK,3,1387.16,Confirmed
BK_00145,2025-05-28,2025-07-20,CH_OTA_EXP,RACK,2,816.48,Cancelled
BK_00146,2025-12-13,2026-03-03,CH_WHOLE,RACK,2,875.97,Checked-Out
BK_00147,2026-01-25,2026-03-07,CH_WHOLE,RACK,3,326.21,Checked-Out
BK_00148,2026-12-02,2027-01-08,CH_OTA_EXP,RACK,2,981.8,Checked-Out
BK_00149,2026-12-22,2027-01-04,CH_WHOLE,PROMO,3,617.33,Confirmed
BK_00150,2025-02-17,2025-03-31,CH_OTA_BKG,CORP,2,474.87,Confirmed
BK_00151,2025-09-08,2025-11-15,CH_WHOLE,PROMO,1,153.53,Checked-Out
BK_00152,2026-01-27,2026-04-17,CH_OTA_EXP,NET,3,420.33,Cancelled
BK_00153,2026-10-16,2026-11-18,CH_WHOLE,CORP,3,251.84,Cancelled
BK_00154,2025-10-22,2026-01-17,CH_OTA_EXP,RACK,2,954.0,Checked-Out
BK_00155,2025-11-03,2026-01-24,CH_WHOLE,CORP,2,870.06,Confirmed
BK_00156,2026-01-29,2026-04-01,CH_OTA_BKG,PROMO,2,640.42,Checked-Out
BK_00157,2025-10-30,2026-01-28,CH_DIRECT,RACK,3,738.72,Confirmed
BK_00158,2026-08-03,2026-10-30,CH_OTA_BKG,NET,2,811.62,Confirmed
BK_00159,2026-09-14,2026-10-30,CH_OTA_EXP,PROMO,3,555.79,Checked-Out
BK_00160,2026-11-07,2027-02-03,CH_OTA_EXP,RACK,3,1054.39,Cancelled
BK_00161,2026-03-28,2026-04-02,CH_DIRECT,PROMO,1,462.04,Cancelled
BK_00162,2026-03-02,2026-03-25,CH_OTA_EXP,PROMO,3,1344.34,Cancelled
BK_00163,2026-06-28,2026-09-01,CH_DIRECT,PROMO,2,927.8,Cancelled
BK_00164,2025-10-30,2025-12-13,CH_OTA_BKG,NET,1,139.12,Confirmed
BK_00165,2026-11-24,2027-02-19,CH_WHOLE,CORP,1,412.09,Confirmed
BK_00166,2025-09-28,2025-12-06,CH_OTA_BKG,NET,2,725.18,Checked-Out
BK_00167,2025-09-26,2025-12-10,CH_WHOLE,CORP,1,363.43,Cancelled
BK_00168,2025-01-26,2025-04-16,CH_DIRECT,PROMO,3,319.65,Cancelled
BK_00169,2026-12-19,2027-01-27,CH_WHOLE,RACK,1,99.05,Confirmed
BK_00170,2025-11-08,2026-01-11,CH_OTA_BKG,RACK,1,452.65,Confirmed
BK_00171,2026-02-02,2026-04-02,CH_DIRECT,NET,3,1175.26,Confirmed
BK_00172,2026-03-01,2026-05-24,CH_OTA_BKG,NET,3,754.23,Cancelled
BK_00173,2025-02-03,2025-05-03,CH_DIRECT,PROMO,2,533.54,Confirmed
BK_00174,2026-01-07,2026-01-20,CH_DIRECT,CORP,1,247.22,Confirmed
BK_00175,2025-05-06,2025-07-04,CH_OTA_BKG,PROMO,3,1045.76,Confirmed
BK_00176,2025-02-21,2025-04-05,CH_OTA_EXP,PROMO,3,498.56,Checked-Out
BK_00177,2025-08-01,2025-10-16,CH_OTA_EXP,PROMO,2,810.47,Checked-Out
BK_00178,2025-01-03,2025-02-08,CH_OTA_EXP,PROMO,3,555.82,Confirmed
BK_00179,2025-04-23,2025-07-17,CH_OTA_BKG,PROMO,1,230.46,Confirmed
BK_00180,2026-08-26,2026-10-07,CH_OTA_BKG,PROMO,2,204.02,Checked-Out
BK_00181,2026-03-08,2026-05-15,CH_OTA_BKG,RACK,2,536.55,Cancelled
BK_00182,2026-06-10,2026-08-25,CH_OTA_BKG,NET,3,519.15,Checked-Out
BK_00183,2025-02-14,2025-05-10,CH_DIRECT,NET,3,1454.67,Confirmed
BK_00184,2026-05-06,2026-06-27,CH_WHOLE,RACK,2,758.42,Cancelled
BK_00185,2025-03-17,2025-03-28,CH_DIRECT,PROMO,1,133.0,Checked-Out
BK_00186,2026-10-11,2026-12-25,CH_DIRECT,NET,3,908.5,Cancelled
BK_00187,2026-06-02,2026-08-19,CH_WHOLE,RACK,3,384.16,Checked-Out
BK_00188,2026-10-29,2027-01-08,CH_OTA_EXP,NET,2,906.0,Cancelled
BK_00189,2025-12-14,2026-02-11,CH_WHOLE,NET,3,359.81,Cancelled
BK_00190,2025-11-17,2026-02-11,CH_DIRECT,CORP,1,368.46,Cancelled
BK_00191,2025-03-10,2025-03-22,CH_OTA_BKG,RACK,2,241.11,Checked-Out
BK_00192,2026-01-17,2026-02-03,CH_OTA_BKG,CORP,3,394.01,Cancelled
BK_00193,2026-11-13,2027-01-07,CH_OTA_BKG,CORP,3,633.69,Confirmed
BK_00194,2026-08-15,2026-10-19,CH_OTA_EXP,PROMO,3,847.56,Confirmed
BK_00195,2025-12-25,2026-03-07,CH_DIRECT,RACK,2,642.24,Cancelled
BK_00196,2026-07-29,2026-10-17,CH_OTA_BKG,CORP,1,155.77,Checked-Out
BK_00197,2025-11-13,2025-12-27,CH_DIRECT,RACK,1,445.34,Checked-Out
BK_00198,2026-11-05,2026-12-27,CH_OTA_BKG,PROMO,3,1037.8,Confirmed
BK_00199,2025-04-04,2025-06-11,CH_OTA_EXP,NET,2,541.06,Confirmed
BK_00200,2026-01-14,2026-02-23,CH_DIRECT,RACK,1,145.34,Checked-Out
BK_00201,2025-02-20,2025-05-18,CH_OTA_BKG,CORP,2,716.03,Cancelled
BK_00202,2026-09-14,2026-11-10,CH_WHOLE,CORP,1,397.08,Confirmed
BK_00203,2025-12-20,2026-02-14,CH_OTA_BKG,CORP,3,1094.89,Cancelled
BK_00204,2026-06-24,2026-09-18,CH_DIRECT,RACK,1,246.01,Checked-Out
BK_00205,2025-02-26,2025-02-27,CH_OTA_EXP,CORP,1,402.29,Cancelled
BK_00206,2025-10-24,2025-12-05,CH_OTA_BKG,RACK,2,787.49,Confirmed
BK_00207,2025-05-13,2025-07-01,CH_OTA_EXP,CORP,1,246.77,Checked-Out
BK_00208,2025-02-13,2025-04-10,CH_OTA_BKG,NET,1,442.09,Checked-Out
BK_00209,2026-03-16,2026-05-29,CH_WHOLE,NET,2,256.75,Confirmed
BK_00210,2025-11-29,2025-12-21,CH_WHOLE,CORP,1,263.42,Confirmed
BK_00211,2025-09-07,2025-11-02,CH_WHOLE,RACK,2,891.24,Checked-Out
BK_00212,2025-12-14,2026-01-12,CH_DIRECT,PROMO,1,294.4,Confirmed
BK_00213,2026-06-28,2026-09-02,CH_OTA_EXP,CORP,2,771.0,Checked-Out
BK_00214,2025-06-01,2025-07-02,CH_OTA_BKG,PROMO,2,325.71,Checked-Out
BK_00215,2025-06-06,2025-08-29,CH_OTA_BKG,PROMO,3,862.59,Checked-Out
BK_00216,2026-08-17,2026-10-14,CH_DIRECT,CORP,1,264.7,Cancelled
BK_00217,2026-03-29,2026-06-18,CH_DIRECT,CORP,3,310.78,Checked-Out
BK_00218,2025-03-17,2025-04-26,CH_WHOLE,NET,1,103.89,Cancelled
BK_00219,2025-03-20,2025-06-11,CH_OTA_BKG,NET,2,647.48,Checked-Out
BK_00220,2025-02-12,2025-04-11,CH_OTA_EXP,CORP,3,839.29,Confirmed
BK_00221,2025-03-05,2025-05-02,CH_OTA_BKG,CORP,3,346.25,Checked-Out
BK_00222,2025-06-26,2025-07-02,CH_OTA_EXP,NET,2,600.22,Checked-Out
BK_00223,2025-06-12,2025-07-29,CH_DIRECT,CORP,2,503.37,Cancelled
BK_00224,2026-11-27,2027-02-12,CH_OTA_BKG,CORP,1,218.47,Checked-Out
BK_00225,2026-11-26,2027-01-15,CH_DIRECT,CORP,3,1312.97,Checked-Out
BK_00226,2025-06-03,2025-07-16,CH_OTA_BKG,PROMO,2,420.59,Checked-Out
BK_00227,2026-12-17,2027-03-12,CH_WHOLE,PROMO,3,1133.13,Confirmed
BK_00228,2025-11-14,2026-01-25,CH_WHOLE,CORP,1,361.45,Checked-Out
BK_00229,2026-12-03,2027-02-09,CH_OTA_BKG,NET,3,695.9,Cancelled
BK_00230,2025-11-13,2025-12-07,CH_OTA_EXP,CORP,2,321.28,Confirmed
BK_00231,2025-06-08,2025-06-18,CH_DIRECT,RACK,3,1211.3,Checked-Out
BK_00232,2026-06-24,2026-06-29,CH_DIRECT,PROMO,3,714.67,Confirmed
BK_00233,2025-07-05,2025-10-02,CH_OTA_EXP,NET,1,252.56,Checked-Out
BK_00234,2025-09-01,2025-10-28,CH_DIRECT,NET,1,304.28,Cancelled
BK_00235,2026-04-26,2026-05-21,CH_DIRECT,NET,2,806.33,Cancelled
BK_00236,2026-05-30,2026-08-06,CH_WHOLE,PROMO,1,416.53,Confirmed
BK_00237,2025-09-14,2025-09-21,CH_WHOLE,CORP,3,1417.21,Checked-Out
BK_00238,2026-06-13,2026-06-29,CH_DIRECT,RACK,1,194.57,Checked-Out
BK_00239,2025-05-31,2025-07-26,CH_OTA_BKG,PROMO,2,903.09,Confirmed
BK_00240,2026-03-01,2026-03-08,CH_WHOLE,CORP,1,242.19,Confirmed
BK_00241,2026-01-19,2026-02-17,CH_OTA_BKG,CORP,1,432.45,Checked-Out
BK_00242,2025-12-10,2025-12-29,CH_OTA_EXP,RACK,2,930.61,Cancelled
BK_00243,2026-12-14,2027-01-01,CH_WHOLE,NET,3,246.62,Confirmed
BK_00244,2025-01-20,2025-02-22,CH_OTA_EXP,PROMO,3,1424.68,Checked-Out
BK_00245,2026-06-25,2026-08-19,CH_OTA_BKG,CORP,1,206.48,Confirmed
BK_00246,2025-09-02,2025-10-26,CH_WHOLE,RACK,1,431.41,Cancelled
BK_00247,2026-09-04,2026-11-12,CH_OTA_BKG,PROMO,3,420.91,Cancelled
BK_00248,2025-01-02,2025-03-22,CH_DIRECT,PROMO,3,764.88,Checked-Out
BK_00249,2026-11-16,2026-11-27,CH_DIRECT,RACK,3,925.54,Checked-Out
BK_00250,2026-07-22,2026-07-25,CH_WHOLE,NET,1,346.98,Cancelled
BK_00251,2025-09-17,2025-09-20,CH_DIRECT,RACK,2,362.55,Checked-Out
BK_00252,2026-10-06,2026-10-20,CH_DIRECT,PROMO,1,227.97,Cancelled
BK_00253,2026-10-21,2026-11-13,CH_WHOLE,NET,3,469.67,Confirmed
BK_00254,2025-03-06,2025-05-04,CH_OTA_BKG,CORP,1,98.4,Confirmed
BK_00255,2025-02-12,2025-03-25,CH_DIRECT,NET,3,836.48,Confirmed
BK_00256,2026-10-25,2026-11-19,CH_DIRECT,CORP,1,443.64,Cancelled
BK_00257,2025-10-07,2025-10-23,CH_DIRECT,NET,2,784.38,Cancelled
BK_00258,2025-12-14,2026-01-07,CH_WHOLE,NET,2,936.42,Checked-Out
BK_00259,2025-10-01,2025-10-12,CH_WHOLE,RACK,2,666.06,Confirmed
BK_00260,2026-07-13,2026-08-20,CH_DIRECT,RACK,1,217.73,Cancelled
BK_00261,2025-11-10,2026-01-07,CH_WHOLE,PROMO,3,799.32,Cancelled
BK_00262,2025-02-13,2025-03-31,CH_WHOLE,CORP,3,1474.83,Confirmed
BK_00263,2025-03-18,2025-06-12,CH_WHOLE,CORP,3,1249.38,Checked-Out
BK_00264,2025-06-13,2025-06-17,CH_OTA_EXP,NET,1,133.02,Confirmed
BK_00265,2026-10-23,2026-12-09,CH_DIRECT,NET,3,280.81,Confirmed
BK_00266,2026-11-27,2027-01-24,CH_DIRECT,CORP,2,800.99,Checked-Out
BK_00267,2025-05-21,2025-07-28,CH_DIRECT,NET,2,705.63,Confirmed
BK_00268,2025-04-27,2025-05-01,CH_OTA_EXP,NET,3,727.6,Checked-Out
BK_00269,2025-05-01,2025-06-04,CH_DIRECT,NET,1,498.47,Cancelled
BK_00270,2026-12-12,2027-02-13,CH_OTA_EXP,RACK,1,438.19,Cancelled
BK_00271,2025-06-26,2025-08-22,CH_OTA_BKG,CORP,3,677.76,Confirmed
BK_00272,2026-07-18,2026-09-26,CH_DIRECT,CORP,1,378.96,Checked-Out
BK_00273,2026-10-16,2026-11-08,CH_DIRECT,PROMO,1,493.76,Confirmed
BK_00274,2025-08-31,2025-11-03,CH_OTA_BKG,CORP,3,961.07,Cancelled
BK_00275,2026-07-19,2026-08-05,CH_OTA_BKG,RACK,2,494.45,Checked-Out
BK_00276,2026-05-06,2026-07-13,CH_WHOLE,NET,3,332.93,Cancelled
BK_00277,2026-10-20,2026-10-30,CH_WHOLE,NET,3,891.87,Confirmed
BK_00278,2026-07-19,2026-10-09,CH_OTA_EXP,PROMO,2,582.41,Confirmed
BK_00279,2025-05-08,2025-07-14,CH_OTA_EXP,CORP,1,148.03,Checked-Out
BK_00280,2025-08-19,2025-10-03,CH_DIRECT,RACK,2,324.89,Checked-Out
BK_00281,2025-10-09,2025-10-26,CH_DIRECT,RACK,3,1047.64,Checked-Out
BK_00282,2026-08-18,2026-09-07,CH_OTA_EXP,CORP,3,291.9,Confirmed
BK_00283,2025-03-25,2025-03-31,CH_DIRECT,PROMO,3,764.9,Checked-Out
BK_00284,2025-02-01,2025-04-06,CH_DIRECT,CORP,2,365.7,Checked-Out
BK_00285,2026-02-20,2026-03-31,CH_WHOLE,RACK,3,315.49,Cancelled
BK_00286,2026-03-02,2026-05-03,CH_WHOLE,PROMO,2,669.59,Cancelled
BK_00287,2025-11-23,2026-01-07,CH_WHOLE,PROMO,2,592.58,Confirmed
BK_00288,2025-11-23,2025-12-24,CH_WHOLE,RACK,2,537.66,Confirmed
BK_00289,2025-04-10,2025-04-17,CH_DIRECT,NET,3,766.85,Confirmed
BK_00290,2025-12-02,2026-02-14,CH_DIRECT,PROMO,1,289.27,Checked-Out
BK_00291,2026-04-24,2026-06-27,CH_DIRECT,NET,1,117.82,Cancelled
BK_00292,2026-06-02,2026-07-31,CH_OTA_EXP,PROMO,3,684.65,Confirmed
BK_00293,2025-10-16,2025-12-19,CH_WHOLE,CORP,3,250.3,Confirmed
BK_00294,2026-03-18,2026-04-05,CH_DIRECT,CORP,2,467.39,Cancelled
BK_00295,2025-02-22,2025-05-06,CH_OTA_EXP,CORP,3,603.64,Cancelled
BK_00296,2026-06-01,2026-07-29,CH_DIRECT,RACK,1,489.53,Cancelled
BK_00297,2026-01-18,2026-03-03,CH_DIRECT,PROMO,1,333.03,Cancelled
BK_00298,2026-05-28,2026-06-03,CH_OTA_BKG,RACK,1,379.71,Cancelled
