booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_cost,net_room_revenue,OCC,Day Name,true_gross_room_revenue,true_commission_cost,true_net_room_revenue,ADR,net_ADR,net_RevPAR
BK_00040,30/5/2026,6/8/2026,CH_OTA_EXP,RACK,3,340.94,Confirmed,TRUE,0.15,51.141,289.799,0.03,Thursday,340.94,51.141,289.799,113.6466667,96.59966667,2.89799
BK_00041,12/3/2025,28/5/2025,CH_OTA_BKG,PROMO,2,260.7,Checked-Out,TRUE,0.18,46.926,213.774,0.02,Wednesday,260.7,46.926,213.774,130.35,106.887,2.13774
BK_00042,10/9/2025,24/11/2025,CH_OTA_BKG,RACK,2,712.19,Checked-Out,TRUE,0.18,128.1942,583.9958,0.02,Monday,712.19,128.1942,583.9958,356.095,291.9979,5.839958
BK_00043,20/6/2026,31/7/2026,CH_DIRECT,PROMO,3,1142.4,Confirmed,TRUE,0,0,1142.4,0.03,Friday,1142.4,0,1142.4,380.8,380.8,11.424
BK_00044,29/9/2025,19/11/2025,CH_OTA_EXP,CORP,2,425.59,Confirmed,TRUE,0.15,63.8385,361.7515,0.02,Wednesday,425.59,63.8385,361.7515,212.795,180.87575,3.617515
BK_00047,11/7/2026,19/8/2026,CH_OTA_BKG,CORP,3,370.52,Confirmed,TRUE,0.18,66.6936,303.8264,0.03,Wednesday,370.52,66.6936,303.8264,123.5066667,101.2754667,3.038264
BK_00048,28/9/2025,13/10/2025,CH_OTA_BKG,PROMO,2,396.68,Confirmed,TRUE,0.18,71.4024,325.2776,0.02,Monday,396.68,71.4024,325.2776,198.34,162.6388,3.252776
BK_00049,18/12/2025,14/1/2026,CH_DIRECT,NET,2,920.48,Confirmed,FALSE,0,0,920.48,0.02,Wednesday,920.48,0,920.48,460.24,460.24,9.2048
BK_00050,5/4/2025,26/6/2025,CH_WHOLE,CORP,1,81.49,Confirmed,TRUE,0,0,81.49,0.01,Thursday,81.49,0,81.49,81.49,81.49,0.8149
BK_00051,15/10/2026,18/11/2026,CH_OTA_EXP,NET,3,1129.14,Checked-Out,FALSE,0.15,0,1129.14,0.03,Wednesday,1328.4,199.26,1129.14,442.8,376.38,11.2914
BK_00054,10/2/2025,28/3/2025,CH_OTA_EXP,PROMO,3,369.52,Checked-Out,TRUE,0.15,55.428,314.092,0.03,Friday,369.52,55.428,314.092,123.1733333,104.6973333,3.14092
BK_00055,21/2/2026,12/5/2026,CH_OTA_EXP,PROMO,1,490.01,Confirmed,TRUE,0.15,73.5015,416.5085,0.01,Tuesday,490.01,73.5015,416.5085,490.01,416.5085,4.165085
BK_00056,27/2/2026,3/3/2026,CH_OTA_EXP,CORP,2,833.88,Checked-Out,TRUE,0.15,125.082,708.798,0.02,Tuesday,833.88,125.082,708.798,416.94,354.399,7.08798
BK_00058,16/8/2025,11/9/2025,CH_WHOLE,CORP,2,849.25,Confirmed,TRUE,0,0,849.25,0.02,Thursday,849.25,0,849.25,424.625,424.625,8.4925
BK_00059,17/8/2025,21/8/2025,CH_OTA_EXP,NET,2,394.03,Confirmed,FALSE,0.15,0,394.03,0.02,Thursday,463.5647059,69.53470588,394.03,231.7823529,197.015,3.9403
BK_00062,18/11/2025,13/1/2026,CH_OTA_BKG,NET,3,479.5,Confirmed,FALSE,0.18,0,479.5,0.03,Tuesday,584.7560976,105.2560976,479.5,194.9186992,159.8333333,4.795
BK_00063,27/12/2026,21/2/2027,CH_OTA_BKG,PROMO,2,522.29,Checked-Out,TRUE,0.18,94.0122,428.2778,0.02,Sunday,522.29,94.0122,428.2778,261.145,214.1389,4.282778
BK_00064,5/12/2025,23/2/2026,CH_DIRECT,RACK,3,1374.06,Checked-Out,TRUE,0,0,1374.06,0.03,Monday,1374.06,0,1374.06,458.02,458.02,13.7406
BK_00065,13/11/2025,7/2/2026,CH_WHOLE,CORP,2,745.66,Checked-Out,TRUE,0,0,745.66,0.02,Saturday,745.66,0,745.66,372.83,372.83,7.4566
BK_00066,11/5/2025,5/6/2025,CH_WHOLE,NET,3,1182.65,Confirmed,FALSE,0,0,1182.65,0.03,Thursday,1182.65,0,1182.65,394.2166667,394.2166667,11.8265
BK_00068,21/10/2025,17/11/2025,CH_WHOLE,CORP,2,531.1,Checked-Out,TRUE,0,0,531.1,0.02,Monday,531.1,0,531.1,265.55,265.55,5.311
BK_00069,7/8/2025,12/10/2025,CH_WHOLE,PROMO,3,346.84,Checked-Out,TRUE,0,0,346.84,0.03,Sunday,346.84,0,346.84,115.6133333,115.6133333,3.4684
BK_00070,11/11/2026,1/2/2027,CH_DIRECT,RACK,1,362.57,Confirmed,TRUE,0,0,362.57,0.01,Monday,362.57,0,362.57,362.57,362.57,3.6257
BK_00071,23/7/2025,11/8/2025,CH_OTA_BKG,RACK,1,493.25,Checked-Out,TRUE,0.18,88.785,404.465,0.01,Monday,493.25,88.785,404.465,493.25,404.465,4.04465
BK_00073,14/2/2026,18/3/2026,CH_OTA_EXP,RACK,1,406.94,Confirmed,TRUE,0.15,61.041,345.899,0.01,Wednesday,406.94,61.041,345.899,406.94,345.899,3.45899
BK_00074,30/6/2025,28/9/2025,CH_WHOLE,RACK,3,553.99,Confirmed,TRUE,0,0,553.99,0.03,Sunday,553.99,0,553.99,184.6633333,184.6633333,5.5399
BK_00075,13/4/2026,1/5/2026,CH_WHOLE,CORP,2,674.63,Checked-Out,TRUE,0,0,674.63,0.02,Friday,674.63,0,674.63,337.315,337.315,6.7463
BK_00078,21/3/2025,27/4/2025,CH_OTA_EXP,CORP,2,428.56,Checked-Out,TRUE,0.15,64.284,364.276,0.02,Sunday,428.56,64.284,364.276,214.28,182.138,3.64276
BK_00079,24/3/2025,11/4/2025,CH_OTA_EXP,PROMO,2,742.92,Checked-Out,TRUE,0.15,111.438,631.482,0.02,Friday,742.92,111.438,631.482,371.46,315.741,6.31482
BK_00081,5/3/2025,1/4/2025,CH_WHOLE,NET,3,1432.04,Confirmed,FALSE,0,0,1432.04,0.03,Tuesday,1432.04,0,1432.04,477.3466667,477.3466667,14.3204
BK_00085,11/5/2025,30/7/2025,CH_OTA_BKG,NET,3,951.13,Confirmed,FALSE,0.18,0,951.13,0.03,Wednesday,1159.914634,208.7846341,951.13,386.6382114,317.0433333,9.5113
BK_00088,12/10/2025,5/12/2025,CH_DIRECT,RACK,2,176.28,Checked-Out,TRUE,0,0,176.28,0.02,Friday,176.28,0,176.28,88.14,88.14,1.7628
BK_00089,23/2/2025,9/4/2025,CH_OTA_EXP,RACK,3,290.73,Confirmed,TRUE,0.15,43.6095,247.1205,0.03,Wednesday,290.73,43.6095,247.1205,96.91,82.3735,2.471205
BK_00090,11/9/2025,7/10/2025,CH_OTA_BKG,PROMO,1,133.01,Checked-Out,TRUE,0.18,23.9418,109.0682,0.01,Tuesday,133.01,23.9418,109.0682,133.01,109.0682,1.090682
BK_00092,21/6/2025,7/9/2025,CH_OTA_BKG,PROMO,2,250.8,Confirmed,TRUE,0.18,45.144,205.656,0.02,Sunday,250.8,45.144,205.656,125.4,102.828,2.05656
BK_00093,16/11/2025,29/1/2026,CH_WHOLE,NET,3,489.9,Checked-Out,FALSE,0,0,489.9,0.03,Thursday,489.9,0,489.9,163.3,163.3,4.899
BK_00094,9/12/2026,28/2/2027,CH_OTA_EXP,RACK,3,1213.33,Checked-Out,TRUE,0.15,181.9995,1031.3305,0.03,Sunday,1213.33,181.9995,1031.3305,404.4433333,343.7768333,10.313305
BK_00096,12/3/2025,16/5/2025,CH_DIRECT,RACK,2,850.76,Confirmed,TRUE,0,0,850.76,0.02,Friday,850.76,0,850.76,425.38,425.38,8.5076
BK_00097,20/3/2026,6/5/2026,CH_WHOLE,PROMO,2,307.96,Checked-Out,TRUE,0,0,307.96,0.02,Wednesday,307.96,0,307.96,153.98,153.98,3.0796
BK_00098,29/10/2026,3/12/2026,CH_WHOLE,NET,2,853.62,Checked-Out,FALSE,0,0,853.62,0.02,Thursday,853.62,0,853.62,426.81,426.81,8.5362
BK_00099,2/10/2025,13/11/2025,CH_OTA_EXP,RACK,2,900.57,Confirmed,TRUE,0.15,135.0855,765.4845,0.02,Thursday,900.57,135.0855,765.4845,450.285,382.74225,7.654845
BK_00101,6/7/2025,7/9/2025,CH_OTA_EXP,CORP,2,445.88,Checked-Out,TRUE,0.15,66.882,378.998,0.02,Sunday,445.88,66.882,378.998,222.94,189.499,3.78998
BK_00106,18/7/2026,30/8/2026,CH_DIRECT,NET,2,417.56,Confirmed,FALSE,0,0,417.56,0.02,Sunday,417.56,0,417.56,208.78,208.78,4.1756
BK_00107,4/5/2025,29/5/2025,CH_DIRECT,RACK,3,915.19,Checked-Out,TRUE,0,0,915.19,0.03,Thursday,915.19,0,915.19,305.0633333,305.0633333,9.1519
BK_00108,9/7/2025,3/8/2025,CH_OTA_EXP,NET,2,768.65,Checked-Out,FALSE,0.15,0,768.65,0.02,Sunday,904.2941176,135.6441176,768.65,452.1470588,384.325,7.6865
BK_00109,4/9/2026,11/10/2026,CH_OTA_BKG,PROMO,2,351.09,Confirmed,TRUE,0.18,63.1962,287.8938,0.02,Sunday,351.09,63.1962,287.8938,175.545,143.9469,2.878938
BK_00110,6/11/2025,8/11/2025,CH_OTA_EXP,CORP,1,489.2,Checked-Out,TRUE,0.15,73.38,415.82,0.01,Saturday,489.2,73.38,415.82,489.2,415.82,4.1582
BK_00111,27/10/2025,25/1/2026,CH_OTA_EXP,NET,1,446.54,Checked-Out,FALSE,0.15,0,446.54,0.01,Sunday,525.3411765,78.80117647,446.54,525.3411765,446.54,4.4654
BK_00112,19/10/2025,19/12/2025,CH_WHOLE,NET,2,314.87,Confirmed,FALSE,0,0,314.87,0.02,Friday,314.87,0,314.87,157.435,157.435,3.1487
BK_00113,16/9/2025,17/11/2025,CH_OTA_BKG,RACK,2,573.07,Checked-Out,TRUE,0.18,103.1526,469.9174,0.02,Monday,573.07,103.1526,469.9174,286.535,234.9587,4.699174
BK_00115,29/3/2025,30/4/2025,CH_OTA_BKG,NET,3,991.12,Checked-Out,FALSE,0.18,0,991.12,0.03,Wednesday,1208.682927,217.5629268,991.12,402.8943089,330.3733333,9.9112
BK_00116,20/8/2025,26/10/2025,CH_WHOLE,NET,2,409.78,Checked-Out,FALSE,0,0,409.78,0.02,Sunday,409.78,0,409.78,204.89,204.89,4.0978
BK_00118,8/11/2026,19/11/2026,CH_OTA_EXP,PROMO,1,311.84,Confirmed,TRUE,0.15,46.776,265.064,0.01,Thursday,311.84,46.776,265.064,311.84,265.064,2.65064
BK_00121,3/10/2026,18/12/2026,CH_OTA_EXP,NET,1,308.72,Checked-Out,FALSE,0.15,0,308.72,0.01,Friday,363.2,54.48,308.72,363.2,308.72,3.0872
BK_00124,18/12/2026,8/2/2027,CH_DIRECT,NET,2,227.57,Confirmed,FALSE,0,0,227.57,0.02,Monday,227.57,0,227.57,113.785,113.785,2.2757
BK_00125,19/3/2026,30/4/2026,CH_DIRECT,RACK,1,176.15,Checked-Out,TRUE,0,0,176.15,0.01,Thursday,176.15,0,176.15,176.15,176.15,1.7615
BK_00126,13/8/2026,28/10/2026,CH_OTA_BKG,CORP,3,290.69,Confirmed,TRUE,0.18,52.3242,238.3658,0.03,Wednesday,290.69,52.3242,238.3658,96.89666667,79.45526667,2.383658
BK_00131,29/4/2025,20/6/2025,CH_OTA_BKG,NET,2,205.53,Checked-Out,FALSE,0.18,0,205.53,0.02,Friday,250.6463415,45.11634146,205.53,125.3231707,102.765,2.0553
BK_00132,6/1/2026,27/3/2026,CH_WHOLE,NET,1,165.49,Checked-Out,FALSE,0,0,165.49,0.01,Friday,165.49,0,165.49,165.49,165.49,1.6549
BK_00133,15/5/2025,21/6/2025,CH_WHOLE,NET,1,92.13,Checked-Out,FALSE,0,0,92.13,0.01,Saturday,92.13,0,92.13,92.13,92.13,0.9213
BK_00135,6/4/2025,5/5/2025,CH_OTA_BKG,NET,1,352.04,Confirmed,FALSE,0.18,0,352.04,0.01,Monday,429.3170732,77.27707317,352.04,429.3170732,352.04,3.5204
BK_00136,26/5/2026,3/7/2026,CH_DIRECT,NET,2,983.41,Confirmed,FALSE,0,0,983.41,0.02,Friday,983.41,0,983.41,491.705,491.705,9.8341
BK_00137,13/4/2026,23/6/2026,CH_OTA_EXP,NET,1,467.18,Checked-Out,FALSE,0.15,0,467.18,0.01,Tuesday,549.6235294,82.44352941,467.18,549.6235294,467.18,4.6718
BK_00138,20/5/2025,29/5/2025,CH_DIRECT,NET,2,944.77,Checked-Out,FALSE,0,0,944.77,0.02,Thursday,944.77,0,944.77,472.385,472.385,9.4477
BK_00139,1/10/2025,2/10/2025,CH_DIRECT,CORP,3,970.7,Checked-Out,TRUE,0,0,970.7,0.03,Thursday,970.7,0,970.7,323.5666667,323.5666667,9.707
BK_00140,17/5/2026,6/6/2026,CH_WHOLE,NET,2,439.25,Checked-Out,FALSE,0,0,439.25,0.02,Saturday,439.25,0,439.25,219.625,219.625,4.3925
BK_00143,31/1/2026,26/4/2026,CH_OTA_EXP,NET,1,133.02,Checked-Out,FALSE,0.15,0,133.02,0.01,Sunday,156.4941176,23.47411765,133.02,156.4941176,133.02,1.3302
BK_00144,6/12/2025,19/12/2025,CH_WHOLE,RACK,3,1387.16,Confirmed,TRUE,0,0,1387.16,0.03,Friday,1387.16,0,1387.16,462.3866667,462.3866667,13.8716
BK_00146,13/12/2025,3/3/2026,CH_WHOLE,RACK,2,875.97,Checked-Out,TRUE,0,0,875.97,0.02,Tuesday,875.97,0,875.97,437.985,437.985,8.7597
BK_00147,25/1/2026,7/3/2026,CH_WHOLE,RACK,3,326.21,Checked-Out,TRUE,0,0,326.21,0.03,Saturday,326.21,0,326.21,108.7366667,108.7366667,3.2621
BK_00148,2/12/2026,8/1/2027,CH_OTA_EXP,RACK,2,981.8,Checked-Out,TRUE,0.15,147.27,834.53,0.02,Friday,981.8,147.27,834.53,490.9,417.265,8.3453
BK_00149,22/12/2026,4/1/2027,CH_WHOLE,PROMO,3,617.33,Confirmed,TRUE,0,0,617.33,0.03,Monday,617.33,0,617.33,205.7766667,205.7766667,6.1733
BK_00150,17/2/2025,31/3/2025,CH_OTA_BKG,CORP,2,474.87,Confirmed,TRUE,0.18,85.4766,389.3934,0.02,Monday,474.87,85.4766,389.3934,237.435,194.6967,3.893934
BK_00151,8/9/2025,15/11/2025,CH_WHOLE,PROMO,1,153.53,Checked-Out,TRUE,0,0,153.53,0.01,Saturday,153.53,0,153.53,153.53,153.53,1.5353
BK_00154,22/10/2025,17/1/2026,CH_OTA_EXP,RACK,2,954,Checked-Out,TRUE,0.15,143.1,810.9,0.02,Saturday,954,143.1,810.9,477,405.45,8.109
BK_00155,3/11/2025,24/1/2026,CH_WHOLE,CORP,2,870.06,Confirmed,TRUE,0,0,870.06,0.02,Saturday,870.06,0,870.06,435.03,435.03,8.7006
BK_00156,29/1/2026,1/4/2026,CH_OTA_BKG,PROMO,2,640.42,Checked-Out,TRUE,0.18,115.2756,525.1444,0.02,Wednesday,640.42,115.2756,525.1444,320.21,262.5722,5.251444
BK_00157,30/10/2025,28/1/2026,CH_DIRECT,RACK,3,738.72,Confirmed,TRUE,0,0,738.72,0.03,Wednesday,738.72,0,738.72,246.24,246.24,7.3872
BK_00158,3/8/2026,30/10/2026,CH_OTA_BKG,NET,2,811.62,Confirmed,FALSE,0.18,0,811.62,0.02,Friday,989.7804878,178.1604878,811.62,494.8902439,405.81,8.1162
BK_00159,14/9/2026,30/10/2026,CH_OTA_EXP,PROMO,3,555.79,Checked-Out,TRUE,0.15,83.3685,472.4215,0.03,Friday,555.79,83.3685,472.4215,185.2633333,157.4738333,4.724215
BK_00164,30/10/2025,13/12/2025,CH_OTA_BKG,NET,1,139.12,Confirmed,FALSE,0.18,0,139.12,0.01,Saturday,169.6585366,30.53853659,139.12,169.6585366,139.12,1.3912
BK_00165,24/11/2026,19/2/2027,CH_WHOLE,CORP,1,412.09,Confirmed,TRUE,0,0,412.09,0.01,Friday,412.09,0,412.09,412.09,412.09,4.1209
BK_00166,28/9/2025,6/12/2025,CH_OTA_BKG,NET,2,725.18,Checked-Out,FALSE,0.18,0,725.18,0.02,Saturday,884.3658537,159.1858537,725.18,442.1829268,362.59,7.2518
BK_00169,19/12/2026,27/1/2027,CH_WHOLE,RACK,1,99.05,Confirmed,TRUE,0,0,99.05,0.01,Wednesday,99.05,0,99.05,99.05,99.05,0.9905
BK_00170,8/11/2025,11/1/2026,CH_OTA_BKG,RACK,1,452.65,Confirmed,TRUE,0.18,81.477,371.173,0.01,Sunday,452.65,81.477,371.173,452.65,371.173,3.71173
BK_00171,2/2/2026,2/4/2026,CH_DIRECT,NET,3,1175.26,Confirmed,FALSE,0,0,1175.26,0.03,Thursday,1175.26,0,1175.26,391.7533333,391.7533333,11.7526
BK_00173,3/2/2025,3/5/2025,CH_DIRECT,PROMO,2,533.54,Confirmed,TRUE,0,0,533.54,0.02,Saturday,533.54,0,533.54,266.77,266.77,5.3354
BK_00174,7/1/2026,20/1/2026,CH_DIRECT,CORP,1,247.22,Confirmed,TRUE,0,0,247.22,0.01,Tuesday,247.22,0,247.22,247.22,247.22,2.4722
BK_00175,6/5/2025,4/7/2025,CH_OTA_BKG,PROMO,3,1045.76,Confirmed,TRUE,0.18,188.2368,857.5232,0.03,Friday,1045.76,188.2368,857.5232,348.5866667,285.8410667,8.575232
BK_00176,21/2/2025,5/4/2025,CH_OTA_EXP,PROMO,3,498.56,Checked-Out,TRUE,0.15,74.784,423.776,0.03,Saturday,498.56,74.784,423.776,166.1866667,141.2586667,4.23776
BK_00177,1/8/2025,16/10/2025,CH_OTA_EXP,PROMO,2,810.47,Checked-Out,TRUE,0.15,121.5705,688.8995,0.02,Thursday,810.47,121.5705,688.8995,405.235,344.44975,6.888995
BK_00178,3/1/2025,8/2/2025,CH_OTA_EXP,PROMO,3,555.82,Confirmed,TRUE,0.15,83.373,472.447,0.03,Saturday,555.82,83.373,472.447,185.2733333,157.4823333,4.72447
BK_00179,23/4/2025,17/7/2025,CH_OTA_BKG,PROMO,1,230.46,Confirmed,TRUE,0.18,41.4828,188.9772,0.01,Thursday,230.46,41.4828,188.9772,230.46,188.9772,1.889772
BK_00180,26/8/2026,7/10/2026,CH_OTA_BKG,PROMO,2,204.02,Checked-Out,TRUE,0.18,36.7236,167.2964,0.02,Wednesday,204.02,36.7236,167.2964,102.01,83.6482,1.672964
BK_00182,10/6/2026,25/8/2026,CH_OTA_BKG,NET,3,519.15,Checked-Out,FALSE,0.18,0,519.15,0.03,Tuesday,633.1097561,113.9597561,519.15,211.0365854,173.05,5.1915
BK_00183,14/2/2025,10/5/2025,CH_DIRECT,NET,3,1454.67,Confirmed,FALSE,0,0,1454.67,0.03,Saturday,1454.67,0,1454.67,484.89,484.89,14.5467
BK_00185,17/3/2025,28/3/2025,CH_DIRECT,PROMO,1,133,Checked-Out,TRUE,0,0,133,0.01,Friday,133,0,133,133,133,1.33
BK_00187,2/6/2026,19/8/2026,CH_WHOLE,RACK,3,384.16,Checked-Out,TRUE,0,0,384.16,0.03,Wednesday,384.16,0,384.16,128.0533333,128.0533333,3.8416
BK_00191,10/3/2025,22/3/2025,CH_OTA_BKG,RACK,2,241.11,Checked-Out,TRUE,0.18,43.3998,197.7102,0.02,Saturday,241.11,43.3998,197.7102,120.555,98.8551,1.977102
BK_00193,13/11/2026,7/1/2027,CH_OTA_BKG,CORP,3,633.69,Confirmed,TRUE,0.18,114.0642,519.6258,0.03,Thursday,633.69,114.0642,519.6258,211.23,173.2086,5.196258
BK_00194,15/8/2026,19/10/2026,CH_OTA_EXP,PROMO,3,847.56,Confirmed,TRUE,0.15,127.134,720.426,0.03,Monday,847.56,127.134,720.426,282.52,240.142,7.20426
BK_00196,29/7/2026,17/10/2026,CH_OTA_BKG,CORP,1,155.77,Checked-Out,TRUE,0.18,28.0386,127.7314,0.01,Saturday,155.77,28.0386,127.7314,155.77,127.7314,1.277314
BK_00197,13/11/2025,27/12/2025,CH_DIRECT,RACK,1,445.34,Checked-Out,TRUE,0,0,445.34,0.01,Saturday,445.34,0,445.34,445.34,445.34,4.4534
BK_00198,5/11/2026,27/12/2026,CH_OTA_BKG,PROMO,3,1037.8,Confirmed,TRUE,0.18,186.804,850.996,0.03,Sunday,1037.8,186.804,850.996,345.9333333,283.6653333,8.50996
BK_00199,4/4/2025,11/6/2025,CH_OTA_EXP,NET,2,541.06,Confirmed,FALSE,0.15,0,541.06,0.02,Wednesday,636.5411765,95.48117647,541.06,318.2705882,270.53,5.4106
BK_00200,14/1/2026,23/2/2026,CH_DIRECT,RACK,1,145.34,Checked-Out,TRUE,0,0,145.34,0.01,Monday,145.34,0,145.34,145.34,145.34,1.4534
BK_00202,14/9/2026,10/11/2026,CH_WHOLE,CORP,1,397.08,Confirmed,TRUE,0,0,397.08,0.01,Tuesday,397.08,0,397.08,397.08,397.08,3.9708
BK_00204,24/6/2026,18/9/2026,CH_DIRECT,RACK,1,246.01,Checked-Out,TRUE,0,0,246.01,0.01,Friday,246.01,0,246.01,246.01,246.01,2.4601
BK_00206,24/10/2025,5/12/2025,CH_OTA_BKG,RACK,2,787.49,Confirmed,TRUE,0.18,141.7482,645.7418,0.02,Friday,787.49,141.7482,645.7418,393.745,322.8709,6.457418
BK_00207,13/5/2025,1/7/2025,CH_OTA_EXP,CORP,1,246.77,Checked-Out,TRUE,0.15,37.0155,209.7545,0.01,Tuesday,246.77,37.0155,209.7545,246.77,209.7545,2.097545
BK_00208,13/2/2025,10/4/2025,CH_OTA_BKG,NET,1,442.09,Checked-Out,FALSE,0.18,0,442.09,0.01,Thursday,539.1341463,97.04414634,442.09,539.1341463,442.09,4.4209
BK_00209,16/3/2026,29/5/2026,CH_WHOLE,NET,2,256.75,Confirmed,FALSE,0,0,256.75,0.02,Friday,256.75,0,256.75,128.375,128.375,2.5675
BK_00210,29/11/2025,21/12/2025,CH_WHOLE,CORP,1,263.42,Confirmed,TRUE,0,0,263.42,0.01,Sunday,263.42,0,263.42,263.42,263.42,2.6342
BK_00211,7/9/2025,2/11/2025,CH_WHOLE,RACK,2,891.24,Checked-Out,TRUE,0,0,891.24,0.02,Sunday,891.24,0,891.24,445.62,445.62,8.9124
BK_00212,14/12/2025,12/1/2026,CH_DIRECT,PROMO,1,294.4,Confirmed,TRUE,0,0,294.4,0.01,Monday,294.4,0,294.4,294.4,294.4,2.944
